p,d,q,Times_Selected
14,1,2,22
13,1,2,6
3,0,1,2
12,1,2,2
13,0,2,2
14,1,0,2
1,0,2,1
2,0,0,1
2,0,1,1
7,0,1,1
10,0,0,1
11,0,2,1
13,1,0,1
14,1,1,1
