p,d,q,nb,nk,Times_Selected
12,0,0,5,7,3
12,0,0,6,3,3
12,0,0,1,6,2
12,0,0,1,7,2
12,0,0,2,7,2
12,0,0,4,7,2
12,0,0,5,6,2
12,0,0,7,4,2
14,0,0,1,1,2
7,0,0,1,7,1
8,0,0,6,7,1
9,0,0,1,4,1
10,0,0,1,7,1
12,0,0,1,1,1
12,0,0,1,3,1
12,0,0,2,2,1
12,0,0,3,5,1
12,0,0,4,1,1
12,0,0,4,5,1
12,0,0,5,5,1
12,0,0,6,1,1
12,0,0,6,2,1
12,0,0,6,4,1
12,0,0,6,5,1
12,0,0,6,7,1
12,0,0,7,2,1
12,0,0,7,3,1
12,0,0,7,5,1
13,0,0,1,1,1
13,0,0,1,3,1
13,0,0,1,4,1
13,0,0,1,5,1
14,0,0,5,3,1
