p,d,q,nb,nk,Times_Selected
13,0,0,3,1,7
13,0,0,1,1,5
13,0,0,4,1,4
13,0,0,7,7,4
14,0,0,2,4,3
13,0,0,1,7,2
13,0,0,2,6,2
13,0,0,3,5,2
14,0,0,1,3,2
11,0,0,1,7,1
12,0,0,1,1,1
12,0,0,4,1,1
13,0,0,1,6,1
13,0,0,2,5,1
13,0,0,2,7,1
13,0,0,5,1,1
13,0,0,6,1,1
13,0,0,7,5,1
14,0,0,1,2,1
14,0,0,1,7,1
14,0,0,2,7,1
14,0,0,6,3,1
