p,d,q,nb,nk,Times_Selected
14,0,0,1,1,23
13,0,0,5,6,2
13,0,0,7,7,2
14,0,0,1,2,2
12,0,0,1,6,1
13,0,0,1,1,1
13,0,0,1,4,1
13,0,0,1,6,1
13,0,0,1,7,1
13,0,0,2,1,1
13,0,0,2,6,1
13,0,0,5,3,1
13,0,0,5,5,1
13,0,0,7,4,1
14,0,0,1,3,1
14,0,0,1,4,1
14,0,0,1,6,1
14,0,0,3,3,1
14,0,0,6,2,1
