p,d,q,nb,nk,Times_Selected
12,0,0,2,1,9
12,0,0,7,1,8
12,0,0,7,6,3
12,0,0,5,7,2
12,0,0,6,7,2
13,0,0,1,7,2
7,0,0,1,7,1
9,0,0,1,1,1
9,0,0,4,1,1
10,0,0,1,3,1
10,0,0,6,7,1
12,0,0,1,4,1
12,0,0,1,5,1
12,0,0,1,7,1
12,0,0,2,2,1
12,0,0,2,3,1
12,0,0,3,7,1
12,0,0,4,1,1
12,0,0,5,1,1
12,0,0,6,5,1
12,0,0,6,6,1
12,0,0,7,7,1
13,0,0,3,1,1
13,0,0,7,7,1
