p,d,q,nb,Times_Selected
14,1,2,1,28
12,1,2,2,2
1,0,2,1,1
3,0,0,1,1
3,0,2,1,1
3,1,2,2,1
4,1,0,1,1
4,1,1,2,1
6,0,1,2,1
8,0,1,1,1
10,0,0,1,1
10,1,2,2,1
12,0,2,1,1
13,0,1,1,1
13,0,2,1,1
14,1,0,1,1
