p,d,q,nb,nk,Times_Selected
14,0,0,2,5,12
14,0,0,1,7,10
14,0,0,7,5,8
0,0,0,1,1,6
14,0,0,1,1,2
2,0,0,1,7,1
3,0,0,1,2,1
4,0,0,1,1,1
6,0,0,1,1,1
9,0,0,1,6,1
10,0,0,1,7,1
