p,d,q,nb,nk,Times_Selected
14,0,0,2,1,7
14,0,0,1,1,5
14,0,0,2,2,3
14,0,0,2,4,3
13,0,0,1,5,2
13,0,0,2,6,2
13,0,0,3,6,2
13,0,0,7,4,2
14,0,0,1,7,2
14,0,0,2,3,2
14,0,0,2,5,2
14,0,0,2,6,2
11,0,0,6,4,1
12,0,0,1,2,1
12,0,0,1,6,1
13,0,0,1,1,1
13,0,0,3,2,1
13,0,0,3,3,1
13,0,0,4,1,1
14,0,0,1,3,1
14,0,0,1,5,1
14,0,0,7,4,1
