p,d,q,nb,nk,Times_Selected
13,0,0,3,1,10
13,0,0,1,1,9
13,0,0,4,1,6
14,0,0,1,7,5
13,0,0,2,1,3
13,0,0,1,4,2
13,0,0,1,5,2
12,0,0,1,5,1
12,0,0,3,5,1
12,0,0,7,5,1
13,0,0,1,6,1
13,0,0,1,7,1
14,0,0,1,1,1
14,0,0,1,5,1
