p,d,q,nb,nk,Times_Selected
14,0,0,1,7,32
0,0,0,1,1,6
2,0,0,2,1,1
3,0,0,1,3,1
4,0,0,1,3,1
6,0,0,1,6,1
7,0,0,1,2,1
10,0,0,1,6,1
