CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,ReplicateID,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Alpha,NominalCoverage,LowerBound,UpperBound,Coverage,IntervalMethod,IntervalStatus,IntervalWidth,CoverageError,AbsoluteCoverageError,IntervalScore,WISIntervalComponent,WISSharpnessComponent,WISUnderpredictionComponent,WISOverpredictionComponent
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,12,61,1.45894263841497,0.05,0.95,1.45894290222076,1.45894290343431,0,closed_loop_monte_carlo,ok,1.21354370996585e-09,-0.95,0.95,1.05534451033673e-05,5.86302505742628e-08,6.74190949981026e-12,5.8623508664763e-08,0
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,13,62,1.45357471720592,0.05,0.95,1.45357521007395,1.45357521178537,0,closed_loop_monte_carlo,ok,1.71141634197625e-09,-0.95,0.95,1.97164328450405e-05,1.09535738028003e-07,9.5078685665347e-12,1.09526230159436e-07,0
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,14,63,1.44790625961717,0.05,0.95,1.44790713135533,1.44790713371196,0,closed_loop_monte_carlo,ok,2.35662200864795e-09,-0.95,0.95,3.48718830704975e-05,1.93732683724986e-07,1.30923444924886e-11,1.93719591380494e-07,0
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,1,50,1.4966032770697,0.1,0.9,1.49660327706932,1.49660327706954,0,closed_loop_monte_carlo,ok,2.18269846641306e-13,-0.9,0.9,3.47788464694077e-12,3.86431627437863e-14,2.42522051823673e-15,0,3.62179422255496e-14
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,2,51,1.49487796559399,0.1,0.9,1.49487796559129,1.49487796559252,0,closed_loop_monte_carlo,ok,1.23101528970437e-12,-0.9,0.9,3.062528008968e-11,3.40280889885334e-13,1.36779476633819e-14,0,3.26602942221952e-13
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,3,52,1.49280316518971,0.1,0.9,1.49280316517847,1.49280316518275,0,closed_loop_monte_carlo,ok,4.28257429518908e-12,-0.9,0.9,1.43500100691085e-10,1.59444556323428e-12,4.75841588354342e-14,0,1.54686140439885e-12
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,4,53,1.49038133490722,0.1,0.9,1.49038133487213,1.49038133488336,0,closed_loop_monte_carlo,ok,1.12292397602687e-11,-0.9,0.9,4.88478590909835e-10,5.42753989899817e-12,1.24769330669652e-13,0,5.30277056832852e-12
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,5,54,1.48761534509619,0.1,0.9,1.48761534508747,1.48761534511289,1,closed_loop_monte_carlo,ok,2.54130050336698e-11,0.1,0.1,2.54130050336698e-11,2.82366722596331e-13,2.82366722596331e-13,0,0
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,6,55,1.48450847400365,0.1,0.9,1.48450847445131,1.48450847450393,0,closed_loop_monte_carlo,ok,5.2619908430529e-11,-0.9,0.9,9.00580032769938e-09,1.00064448085549e-10,5.846656492281e-13,9.94797824363205e-11,0
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/structural_mismatch/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,7,56,1.48106440388863,0.1,0.9,1.48106440639552,1.48106440649375,0,closed_loop_monte_carlo,ok,9.82272041483156e-11,-0.9,0.9,5.02360277820912e-08,5.5817808646768e-10,1.09141337942573e-12,5.57086673088255e-10,0
