CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Model,ExoMode,NumWindows,NumValidWindows,MeanWIS,MedianWIS,StdWIS,MeanRMSE,MeanMAE,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,AR,None,1,1,1.09009958549612e-09,1.09009958549612e-09,NaN,4.01807592294198e-09,2.85657727102281e-09,0.75,-0.0375,0.2125,9.34777079815892e-09,3.17397474558089e-10,6.05105622810111e-10,1.67596488127915e-10,0
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,ARX,I,1,1,3.25101879573287e-12,3.25101879573287e-12,NaN,5.84063034985373e-12,4.14586883342357e-12,0,-0.7875,0.7875,1.45561340758604e-12,4.60652092602619e-13,1.23874161956834e-13,0,2.66649254117342e-12
