Model,ExoMode,NumWindows,NumValidWindows,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,MinWIS,MaxWIS,MeanRMSE,MeanMedianPointForecastRMSE,MeanMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
AR,None,176,176,176,0.00528854189090792,0.00528854189090792,1.92921357047636e-05,0.0365839703399698,3.61298292870872e-14,0.368813949792493,0.00820847816465874,0.00820847816465874,0.0062422548035224,0.000693583867058044,0.000913486385796494,0.0036740090541944,7.46258385898049e-06,0.575994318181818,-0.211505681818182,0.406118100649351,0.0165421316675396
ARX,I,176,176,176,0.00759719558598164,0.00759719558598164,0.000227741614682608,0.0536367213096097,3.61298292870872e-14,0.655209648713217,0.0117570932758093,0.0117570932758093,0.00897328828974563,0.000997032032193959,0.000887722557250531,0.00401249621991441,0.00169994477662274,0.397727272727273,-0.389772727272727,0.513007305194805,0.0159406344610282
