Scenario,Model,ExoMode,GroupCount,Mean_WindowWIS,Median_WindowWIS,Std_WindowWIS,Min_WindowWIS,Max_WindowWIS,IsAcceptable,FailureReason,IncludeInMainComparison
A1,ARX,Both,44,5.79165258527244e-07,4.80418989320126e-07,6.29767467353266e-07,1.26350725324208e-08,2.58827978451427e-06,1,,1
A1,ARX,I,44,2.9412663719275e-06,2.51694556991001e-06,2.9048070736691e-06,5.48146257381994e-08,1.90282032445376e-05,1,,1
A1,ARX,S,44,2.8597586073013e-06,7.85164160313842e-07,5.13046791805013e-06,5.00946641787725e-08,2.48098304876521e-05,1,,1
A1,AR,None,44,0.00396076648700958,0.00273892141868801,0.00351098162360799,0.000378673050767091,0.0106752710417864,1,,1
A2,ARX,Both,44,0.0339216078923411,0.00568126140374445,0.111359217422521,3.61298292870872e-14,0.655209648713217,1,,1
A2,ARX,I,44,0.033719004671528,0.00545827618082515,0.111414563719995,3.61298292870872e-14,0.655209648713217,1,,1
A2,ARX,S,44,0.0330448467419198,0.00464792533049262,0.11154464134456,3.61298292870872e-14,0.655209648713217,1,,1
A2,AR,None,44,0.0244171252496388,0.00776535917633113,0.0674375235390434,3.61298292870872e-14,0.362883389566431,1,,1
A3,ARX,Both,44,0.00047073678244271,0.000361339619715803,0.000467101000777541,4.33025561865679e-05,0.00240951333735957,1,,1
A3,ARX,I,44,0.000755679828462037,0.00053002479887411,0.000872183211025273,1.61960817485337e-05,0.00421983371921859,1,,1
A3,ARX,S,44,0.000985617509713011,0.000619898522325871,0.00110718714876428,3.6659127016716e-05,0.00396883177614398,1,,1
A3,AR,None,44,0.0201151424978549,0.00938500662137417,0.0207325114951765,0.00219725790245354,0.0751786503253383,1,,1
A4,ARX,Both,44,0.000439236444033361,0.000394842242181058,0.00031604632304268,8.98073356054552e-06,0.00129807117687427,1,,1
A4,ARX,I,44,0.000609914150260335,0.000437362428185459,0.00058654666364709,5.23922167683963e-06,0.00293365996732414,1,,1
A4,ARX,S,44,0.00750438926260254,0.00110140229363602,0.0128156857693135,4.15521789312504e-05,0.0634546184509947,1,,1
A4,AR,None,44,0.021234189047793,0.00956122824341201,0.0214857447557824,0.00193701738530092,0.071712101569686,1,,1
