Scenario,Model,ExoMode,WindowDay,HorizonIdx,ForecastDay,Truth_S,Projected_S,AbsError_S,Truth_I,Projected_I,AbsError_I
A1,ARX,Both,70,12,82,58900.0862486001,60582.1501443716,1682.06389577149,7387.76019272622,9097.03495712528,1709.27476439906
A1,ARX,Both,70,13,83,57532.8002591945,59241.4783820935,1708.67812289908,7580.13624136018,9454.62760496526,1874.49136360508
A1,ARX,Both,70,14,84,56141.8468324889,57861.6916925904,1719.84486010148,7771.27846610386,9811.40937372028,2040.13090761642
A1,ARX,Both,77,1,78,64115.9817564047,64427.9590309005,311.977274495795,6614.52434301091,6725.38130930981,110.856966298897
A1,ARX,Both,77,2,79,62851.4612479765,63461.8160350598,610.354787083241,6807.568077537,7032.86801156326,225.29993402626
A1,ARX,Both,77,3,80,61560.1884550325,62455.4207160613,895.232261028832,7001.0558672336,7343.92187384557,342.866006611974
A1,ARX,Both,77,4,81,60242.8190274709,61409.6374695455,1166.81844207459,7194.59088153706,7657.63943745065,463.048555913588
A1,ARX,Both,77,5,82,58900.0862486001,60325.5200843257,1425.43383572561,7387.76019272622,7973.06070013419,585.300507407971
A1,ARX,Both,77,6,83,57532.8002591945,59204.3124935798,1671.51223438531,7580.13624136018,8289.17456193094,709.038320570761
A1,ARX,Both,77,7,84,56141.8468324889,58047.4477938372,1905.6009613483,7771.27846610386,8604.92510206605,833.646635962195
A1,ARX,Both,77,8,85,54728.185700982,56856.5454780495,2128.35977706756,7960.73508921778,8919.21863588547,958.483546667695
A1,ARX,Both,77,9,86,53292.8484414956,55633.4068545923,2340.55841309668,8148.0450464719,9230.93148470686,1082.88643823496
A1,ARX,Both,77,10,87,51836.935930837,54380.0086510302,2543.07272019322,8332.74004769149,9538.91837618489,1206.1783284934
