Model,ExoMode,Alpha,NumIntervalPoints,NominalCoverage,MeanCoverage,CoverageBias,AbsoluteCalibrationError,UnderCoverage,OverCoverage,MeanIntervalWidth,MeanIntervalScore,MeanWISIntervalComponent,MeanWISSharpnessComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
AR,None,0.05,2464,0.949999999999999,0.72362012987013,-0.226379870129869,0.226379870129869,0.226379870129869,0,0.0277295280543326,0.184462550751057,0.00102479194861699,0.000154052933635181,0.000869879928997613,8.59085984192499e-07
AR,None,0.1,2464,0.89999999999999,0.656655844155844,-0.243344155844145,0.243344155844145,0.243344155844145,0,0.0210381879407102,0.100948336193867,0.00112164817993185,0.000233757643785669,0.000886690701804093,1.19983434208933e-06
AR,None,0.2,2464,0.800000000000008,0.581574675324675,-0.218425324675332,0.218425324675332,0.218425324675332,0,0.0132310768739232,0.0543041549057958,0.00120675899790658,0.000294023930531626,0.000911009254593858,1.72581278109168e-06
AR,None,0.5,2464,0.5,0.342126623376623,-0.157873376623377,0.157873376623377,0.157873376623377,0,0.00416973380119232,0.0223516601531003,0.00124175889739446,0.000231651877844018,0.00100642916879884,3.67785075160698e-06
ARX,Both,0.05,2464,0.949999999999999,0.49025974025974,-0.459740259740258,0.459740259740258,0.459740259740258,0,0.0259310149692901,0.271607185226718,0.0015089288068151,0.000144061194273834,0.000978838250029544,0.000386029362511722
ARX,Both,0.1,2464,0.89999999999999,0.451298701298701,-0.448701298701288,0.448701298701288,0.448701298701288,0,0.0199141610271372,0.145126582677341,0.00161251758530379,0.000221268455857079,0.000981669694060729,0.000409579435385981
ARX,Both,0.2,2464,0.800000000000008,0.391233766233766,-0.408766233766242,0.408766233766242,0.408766233766242,0,0.013361617446386,0.0773666172535885,0.00171925816119086,0.000296924832141911,0.000985543309129901,0.000436790019919042
ARX,Both,0.5,2464,0.5,0.239448051948052,-0.260551948051948,0.260551948051948,0.260551948051948,0,0.0041404353012532,0.0312968420921249,0.0017387134495625,0.000230024183402956,0.00103999325769866,0.000468696008460883
ARX,I,0.05,2464,0.949999999999999,0.520698051948052,-0.429301948051947,0.429301948051947,0.429301948051947,0,0.0268157639217711,0.271924724752855,0.00151069291529364,0.000148976466232061,0.000975885222798142,0.000385831226263434
ARX,I,0.1,2464,0.89999999999999,0.474431818181818,-0.425568181818171,0.425568181818171,0.425568181818171,0,0.0204348783138059,0.144703996393933,0.00160782218215481,0.000227054203486733,0.000978997131807241,0.000401770846860838
ARX,I,0.2,2464,0.800000000000008,0.398538961038961,-0.401461038961047,0.401461038961047,0.401461038961047,0,0.0133153591370432,0.0765065677087422,0.00170014594908316,0.000295896869712071,0.00098340270259189,0.0004208463767792
ARX,I,0.5,2464,0.5,0.145292207792208,-0.354707792207792,0.354707792207792,0.354707792207792,0,0.00409305258603033,0.0323523869346853,0.00179735482970474,0.000227391810335018,0.00111392898484846,0.00045603403452126
ARX,S,0.05,2464,0.949999999999999,0.467532467532468,-0.482467532467531,0.482467532467531,0.482467532467531,0,0.0263304120851151,0.272580948703556,0.00151433860390864,0.000146280067139528,0.00100019204974295,0.000367866487026163
ARX,S,0.1,2464,0.89999999999999,0.428571428571429,-0.471428571428561,0.471428571428561,0.471428571428561,0,0.0200547527422916,0.145689015624274,0.00161876684026972,0.000222830586025463,0.00100327332996143,0.000392662924282826
ARX,S,0.2,2464,0.800000000000008,0.376217532467532,-0.423782467532475,0.423782467532475,0.423782467532475,0,0.0133893300322914,0.0774571884297772,0.00172127085399505,0.000297540667384253,0.00100689593407349,0.000416834252537301
ARX,S,0.5,2464,0.5,0.269480519480519,-0.230519480519481,0.230519480519481,0.230519480519481,0,0.00440271222161961,0.0311446912791306,0.00173026062661836,0.000244595123423311,0.00101878189469997,0.000466883608495085
N4SID,Both,0.05,2464,0.949999999999999,0.394886363636364,-0.555113636363635,0.555113636363635,0.555113636363635,0,124725336893.665,124725336903.672,692918538.353735,692918538.298141,0.0470047892977156,0.0085886099889593
N4SID,Both,0.1,2464,0.89999999999999,0.353896103896104,-0.546103896103886,0.546103896103886,0.546103896103886,0,11847174411.6798,11847174429.6833,131635271.440925,131635271.240887,0.191357143348466,0.00868147965143231
N4SID,Both,0.2,2464,0.800000000000008,0.301136363636364,-0.498863636363644,0.498863636363644,0.498863636363644,0,786720112.063507,786720184.802796,17482670.7733955,17482669.1569668,1.60763464903078,0.00879398624332228
N4SID,Both,0.5,2464,0.5,0.161931818181818,-0.338068181818182,0.338068181818182,0.338068181818182,0,8551638.08049565,8553409.9194016,475189.439966757,475091.004471981,98.4264804020758,0.00901437367466378
N4SID,I,0.05,2464,0.949999999999999,0.528814935064935,-0.421185064935064,0.421185064935064,0.421185064935064,0,0.0706356864030246,2.17919562471248,0.0121066423595138,0.000392420480016803,0.00626048576840832,0.00545373611108865
N4SID,I,0.1,2464,0.89999999999999,0.500811688311688,-0.399188311688301,0.399188311688301,0.399188311688301,0,0.0546378778990644,1.14323361707352,0.0127025957452613,0.000607087532211827,0.00658329314984918,0.0055122150632003
N4SID,I,0.2,2464,0.800000000000008,0.440340909090909,-0.359659090909099,0.359659090909099,0.359659090909099,0,0.0348815677275268,0.614212850401475,0.0136491744533661,0.000775145949500596,0.00729791011325718,0.00557611839060834
N4SID,I,0.5,2464,0.5,0.211038961038961,-0.288961038961039,0.288961038961039,0.288961038961039,0,0.0138371626354433,0.268381360147659,0.0149100755637588,0.000768731257524625,0.00828690844840312,0.0058544358578311
