CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Model,ExoMode,NumWindows,NumValidWindows,MeanWIS,MedianWIS,StdWIS,MeanRMSE,MeanMAE,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,1,1,0.0277087102641397,0.0277087102641397,NaN,0.033462555085509,0.0315683158008212,0.916666666666667,0.129166666666667,0.2125,0.306350701595227,0.00350759064453568,0.0224754646057618,0.00172565501384222,0
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,ARX,I,1,1,0.0441626946029543,0.0441626946029543,NaN,0.11020983858889,0.0920720787587369,0.75,-0.0375,0.2625,0.356330449670224,0.010230230973193,0.0253876815141675,0.00854478211559376,0
