CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,ReplicateID,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,WindowWIS,WindowRawScaleWIS,WindowRMSE,WindowMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,IsValid,IntervalMethod,IntervalStatus,RecordedStatus,AICC
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,119,120,0.0196619260668061,0.0196619260668061,0.0194638323648803,0.0147026047708823,0.00163362275232026,0.0180283033144859,0,0,1,0.2125,0.2125,0.269015972482494,1,closed_loop_monte_carlo,ok,ok,-247.177952354681
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,126,127,0.0193885863363343,0.0193885863363343,0.0363558957811707,0.0296336289650717,0.00329262544056352,0.0160959608957708,0,0,1,0.2125,0.2125,0.243881087433167,1,closed_loop_monte_carlo,ok,ok,-266.75069155132
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,133,134,0.0238221358762567,0.0238221358762567,0.0627779975920211,0.0550417884759077,0.00611575427510086,0.0157499978773266,0,0.00195638372382921,0.910714285714286,0.123214285714286,0.2125,0.2328463893091,1,closed_loop_monte_carlo,ok,ok,-280.776608420266
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,140,141,0.0209258506950331,0.0209258506950331,0.0451276334496088,0.0406908657199595,0.00452120730221772,0.0160063683936628,0,0.000398274999152567,0.964285714285714,0.176785714285714,0.2125,0.237857936417121,1,closed_loop_monte_carlo,ok,ok,-298.585530445685
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,147,148,0.0529811449273884,0.0529811449273884,0.137258282837665,0.132339266159109,0.0147043629065676,0.0151907859676035,0,0.0230859960532173,0.464285714285714,-0.323214285714286,0.398214285714286,0.227563905136721,1,closed_loop_monte_carlo,ok,ok,-312.166504740054
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,154,155,0.0282546429522073,0.0282546429522073,0.0759906847764496,0.0668943980476394,0.00743271089418215,0.0178052661519431,0,0.00301666590608204,0.875,0.0875,0.2125,0.263938782166448,1,closed_loop_monte_carlo,ok,ok,-320.061739380023
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,161,162,0.0320697930642092,0.0320697930642092,0.0855514495538162,0.0743724044223203,0.00826360049136892,0.0200525224697966,0,0.00375367010304371,0.892857142857143,0.105357142857143,0.2125,0.298363798770852,1,closed_loop_monte_carlo,ok,ok,-337.227750474801
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,168,169,0.033745880926301,0.033745880926301,0.0952183769649662,0.0814600572462191,0.00905111747180212,0.0202632525044402,0,0.00443151095005865,0.839285714285714,0.0517857142857143,0.233928571428571,0.298363736273745,1,closed_loop_monte_carlo,ok,ok,-353.379787959147
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,175,176,0.0312151903704639,0.0312151903704639,0.0808561289511774,0.0654308004987399,0.00727008894430444,0.0223987184503065,0,0.00154638297585293,0.928571428571429,0.141071428571429,0.2125,0.332601624873425,1,closed_loop_monte_carlo,ok,ok,-372.502114338261
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/combined_stress/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,182,183,0.0521666000231599,0.0521666000231599,0.146388556823761,0.136631947252791,0.0151813274725324,0.0213302787711928,0,0.0156549937794347,0.714285714285714,-0.0732142857142857,0.258928571428571,0.314111640505079,1,closed_loop_monte_carlo,ok,ok,-379.381912650829
