Scenario,Model,ExoMode,Configuration,OrderText,GroupCount,Mean_WindowWIS,Median_WindowWIS,Std_WindowWIS,Min_WindowWIS,Max_WindowWIS
real,AR,None,Frozen,"p=2",136,0.0680425970057817,0.0459038155009516,0.0720866573624969,0.0247007225677353,0.552554429640231
real,AR,None,Refined,"p=4",136,0.0677137326322011,0.0451026169469621,0.0713954869984232,0.0244696093578817,0.550801069427627
real,ARX,I,Frozen,"na=7, nb=2, nk=1",136,5734148479.50341,0.0499800769991464,66163738890.0429,0.0240944380692861,771627921766.627
real,ARX,I,Refined,"na=8, nb=1, nk=4",136,0.06928016650785,0.0429225563192685,0.0700559272357133,0.0236731901582001,0.525630797579311
