Scenario,Model,ExoMode,WindowDay,WindowWIS,WorstPointwiseWIS,WorstHorizonIdx,WorstForecastDay,Truth_Rt,Median_Forecast
real,ARX,I,49,6.09267265602682,14.0523633416938,14,63,0.960697206612574,1.91154910862367
real,ARX,I,56,6320104814.30208,87440292396.1932,14,70,1.12363745651187,0.699264241450265
real,ARX,I,63,1896166614.56149,26326970229.5916,14,77,1.29422493807102,0.217155557445102
real,ARX,I,70,771627921766.627,10781800753175.6,14,84,1.18288876304561,0.0385917001034388
