Scenario,Model,ExoMode,GroupCount,Mean_WindowWIS,Median_WindowWIS,Std_WindowWIS,Min_WindowWIS,Max_WindowWIS,IsAcceptable,FailureReason,IncludeInMainComparison
real,ARX,I,136,5734148479.50341,0.0499800769991464,66163738890.0429,0.0240944380692861,771627921766.627,1,,1
real,AR,None,136,0.0680425970057817,0.0459038155009516,0.0720866573624969,0.0247007225677353,0.552554429640231,1,,1
