CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Model,ExoMode,NumWindows,NumValidWindows,MeanWIS,MedianWIS,StdWIS,MeanRMSE,MeanMAE,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,AR,None,1,1,1.09009958549612e-09,1.09009958549612e-09,NaN,4.01807592294198e-09,2.85657727102281e-09,0.75,-0.0375,0.2125,9.34777079815892e-09,3.17397474558089e-10,6.05105622810111e-10,1.67596488127915e-10,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,ARX,I,1,1,2.99649412278998e-11,2.99649412278998e-11,NaN,4.92843709330417e-11,3.49508570233562e-11,0,-0.7875,0.7875,8.31808695996491e-12,3.88342855815069e-12,6.5842516624078e-13,0,2.54230875035083e-11
