CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,ReplicateID,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Alpha,NominalCoverage,LowerBound,UpperBound,Coverage,IntervalMethod,IntervalStatus,IntervalWidth,CoverageError,AbsoluteCoverageError,IntervalScore,WISIntervalComponent,WISSharpnessComponent,WISUnderpredictionComponent,WISOverpredictionComponent
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,2,51,1.49487796559399,0.5,0.5,1.494877965574,1.49487796557706,0,closed_loop_monte_carlo,ok,3.05866443284231e-12,-0.5,0.5,7.08071379307285e-11,3.93372988504047e-12,1.69925801824573e-13,0,3.7638040832159e-12
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,3,52,1.49280316518971,0.5,0.5,1.49280316510384,1.49280316511692,0,closed_loop_monte_carlo,ok,1.30804256315287e-11,-0.5,0.5,3.04246627891303e-10,1.69025904384057e-11,7.26690312862704e-13,0,1.6175900125543e-11
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,1,50,1.4966032770697,0.05,0.95,1.49660327657588,1.49660327729463,1,closed_loop_monte_carlo,ok,7.18751280714969e-10,0.05,0.05,7.18751280714969e-10,3.99306267063872e-12,3.99306267063872e-12,0,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,2,51,1.49487796559399,0.05,0.95,1.49487796160951,1.49487796772054,1,closed_loop_monte_carlo,ok,6.11103168068894e-09,0.05,0.05,6.11103168068894e-09,3.39501760038274e-11,3.39501760038274e-11,0,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,3,52,1.49280316518971,0.05,0.95,1.49280314685836,1.49280317623269,1,closed_loop_monte_carlo,ok,2.93743267487656e-08,0.05,0.05,2.93743267487656e-08,1.63190704159809e-10,1.63190704159809e-10,0,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,1,50,1.4966032770697,0.1,0.9,1.49660327657588,1.49660327729463,1,closed_loop_monte_carlo,ok,7.18751280714969e-10,0.1,0.1,7.18751280714969e-10,7.98612534127743e-12,7.98612534127743e-12,0,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,2,51,1.49487796559399,0.1,0.9,1.49487796160951,1.49487796772054,1,closed_loop_monte_carlo,ok,6.11103168068894e-09,0.1,0.1,6.11103168068894e-09,6.79003520076549e-11,6.79003520076549e-11,0,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,3,52,1.49280316518971,0.1,0.9,1.49280314685836,1.49280317623269,1,closed_loop_monte_carlo,ok,2.93743267487656e-08,0.1,0.1,2.93743267487656e-08,3.26381408319618e-10,3.26381408319618e-10,0,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,1,50,1.4966032770697,0.2,0.8,1.49660327670025,1.49660327729369,1,closed_loop_monte_carlo,ok,5.93449289709724e-10,0.2,0.2,5.93449289709724e-10,1.31877619935494e-11,1.31877619935494e-11,0,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,2,51,1.49487796559399,0.2,0.8,1.49487796266534,1.49487796771938,1,closed_loop_monte_carlo,ok,5.05403940920246e-09,0.2,0.2,5.05403940920246e-09,1.12311986871166e-10,1.12311986871166e-10,0,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,3,52,1.49280316518971,0.2,0.8,1.49280315194502,1.49280317621513,1,closed_loop_monte_carlo,ok,2.4270110365876e-08,0.2,0.2,2.4270110365876e-08,5.39335785908356e-10,5.39335785908356e-10,0,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,1,50,1.4966032770697,0.5,0.5,1.49660327708752,1.49660327728635,0,closed_loop_monte_carlo,ok,1.98826510811045e-10,-0.5,0.5,2.70099276278302e-10,1.50055153487945e-11,1.10459172672803e-11,3.95959808151424e-12,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,2,51,1.49487796559399,0.5,0.5,1.49487796586862,1.49487796753988,0,closed_loop_monte_carlo,ok,1.67126534833528e-09,-0.5,0.5,2.76974754243042e-09,1.53874863468357e-10,9.28480749075157e-11,6.10267885608411e-11,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/process_noise/forecasts/partB_process_noise_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,3,52,1.49280316518971,0.5,0.5,1.49280316715982,1.49280317513716,0,closed_loop_monte_carlo,ok,7.97733923363353e-09,-0.5,0.5,1.58577946329785e-08,8.8098859072103e-10,4.4318551297964e-10,4.37803077741389e-10,0
