State_Order_n,Differencing_d,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
1,0,0.0287929003404274,0.0293970615806464+0i,0.117148514212304,0.110794594247494,0.0715332675952179+0i,1
2,0,0.0117943399505922,0.0721575507809164+0i,0.531415132342416,0.133602470990618,0.187242373516135+0i,2
7,0,1.43378715705468e+30,2.50262242457954+0i,0.141881442243809,0.143658159348119,3.58446789263669e+29+0i,3
3,0,2.81923746919378e+245,0.0443749834370844+0i,1.60720387723257e+31,1874075.57047282,7.04809367298445e+244+0i,4
4,0,3.69760897162823e+264,13326.8554398923+0i,1.41547492835919e+66,2.09361248728604e+216,9.24402242907057e+263+0i,5
5,0,2.52180740041936e+266,4.1011647904543e+18+0i,4.65102552089922e+247,9.10158612993592e+256,6.30451850332379e+265+0i,6
8,0,3.82179660221307e+102,4.7006586824341e+269+6.11614229855165e+16i,16404109.6595929,7.63455120702337,1.17516467060853e+269+1.52903557463791e+16i,7
6,0,2.54451640845092e+33,230194421.456604+0i,3.20244717176798e+272,0.143658159348119,8.00611792941995e+271+0i,8
