State_Order_n,Differencing_d,MeanWIS_A1,MeanWIS_A2,MeanWIS_A3,MeanWIS_A4,GlobalMeanWIS,Rank
1,0,0.0446844486293419,0.0437136603483617,0.144071989539026,0.102652382535606,0.0837806202630839,1
2,0,0.00737534105607791,105391206.475464,8.68569109097596,0.0939924011713512,26347803.8156307,2
3,0,5.56835715856587e+190,0.0864123503172473,5.76142512483591e+147,0.887291404999623,1.39208928964147e+190,3
4,0,5.09023463829196e+256,0.0607375032895886,0.141881442243809,0.143658159348119,1.27255865957299e+256,4
5,0,2.18813038680731e+141,2.60476915655379e+73,0.141881442243809,2.24535696536148e+257,5.6133924134037e+256,5
6,0,6.48202371012781e+187,7.22661606170157e+125,7.95512956408196e+209,2.82373882608729e+274,7.05934706521823e+273,6
7,0,2.66226329424589e+292,1.76971535223875e+54,0.141881442243809,5.82091684600019e+237,6.65565823561472e+291,7
8,0,2.06678374584613e+181,50494493.0414047,7.87681750904066e+266,7.1493650370085e+300,1.78734125925212e+300,8
