StrategyID,StrategyName,OrderTreatment,ParameterTreatment,Model,ExoMode,NumWindows,NumValidWindows,NumFiniteWIS,MeanWIS,MedianWIS,StdWIS,MinWIS,MaxWIS,MeanRMSE,MeanMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,27,27,27,0.0882409527901047,0.0389541163049601,0.135371193596704,0.0322929151772292,0.609257834715639,0.174133622567634,0.134693062446229,0.0149658958273588,0.0299493641627605,0.0199098884636031,0.0234158043363823,0.849206349206349,0.0617063492063492,0.271362433862434,0.439764019408401
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,27,27,27,0.100480006176191,0.0302010306120771,0.164735922600073,0.0141972178920734,0.727616458162563,0.175481774657225,0.135925625527878,0.0151028472808754,0.0114065676259248,0.028627426303396,0.0453431649659944,0.598544973544973,-0.188955026455026,0.391997354497355,0.166807737189351
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,27,27,27,0.101688453520434,0.0403939984168976,0.179178623357133,0.0248193981541436,0.878584651071458,0.193631062813461,0.155428236693346,0.0172698040770384,0.0265221817836551,0.0293814881515314,0.0285149795082091,0.782407407407408,-0.00509259259259259,0.288359788359788,0.42182352683423
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,27,27,27,0.109744409912665,0.0412817803068307,0.205970394275856,0.0246689116544764,1.03181484661248,0.201824787960147,0.162067016304916,0.0180074462561018,0.0262232602096186,0.0355491961885542,0.0299645072583906,0.768518518518518,-0.0189814814814815,0.293386243386243,0.425460809276811
online_reestimate,Online parameter re-estimation,Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,27,27,27,0.0870391623305745,0.0428057005939699,0.126664853847739,0.0254642134394556,0.550320326696833,0.172667698950103,0.134481221050751,0.0149423578945279,0.0294970867154747,0.0182459895532345,0.0243537281673374,0.82473544973545,0.0372354497354497,0.273148148148148,0.489888163871417
online_reestimate,Online parameter re-estimation,Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,27,27,27,0.0922139975353933,0.0414989774683499,0.143434210882369,0.02874984208984,0.653168603694817,0.177904596009948,0.138264777108516,0.0153627530120573,0.0292745017913039,0.0219474238682909,0.0256293188637413,0.826058201058201,0.0385582010582011,0.274140211640212,0.48769790104346
