StrategyID,StrategyName,OrderTreatment,ParameterTreatment,Model,ExoMode,Alpha,NumIntervalPoints,NominalCoverage,MeanCoverage,CoverageBias,AbsoluteCalibrationError,UnderCoverage,OverCoverage,MeanIntervalWidth,MeanIntervalScore,MeanWISIntervalComponent,MeanWISSharpnessComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,0.05,378,0.950000000000002,0.920634920634921,-0.0293650793650809,0.0293650793650809,0.0293650793650809,0,0.623731473005981,2.05975506393576,0.011443083688532,0.00346517485003323,0.00391599216973864,0.00406191666876015
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,0.1,378,0.900000000000001,0.902116402116402,0.00211640211640152,0.00211640211640152,0,0.00211640211640152,0.520602289967511,1.33553397213932,0.0148392663571035,0.0057844698885279,0.00441444489818045,0.00464035157039516
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,0.2,378,0.799999999999999,0.857142857142857,0.0571428571428585,0.0571428571428585,0,0.0571428571428585,0.403545608374205,0.886157677030425,0.0196923928228983,0.00896768018609344,0.00503424787607428,0.0056904647607306
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,0.5,378,0.5,0.716931216931217,0.216931216931217,0.216931216931217,0,0.216931216931217,0.211176706285907,0.491405653695817,0.0273003140942121,0.011732039238106,0.00654520351960973,0.00902307133649637
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,0.05,378,0.950000000000002,0.746031746031746,-0.203968253968255,0.203968253968255,0.203968253968255,0,0.23533350383066,3.04433153122045,0.0169129529512248,0.00130740835461478,0.00633897315495752,0.00926657144165244
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,0.1,378,0.900000000000001,0.695767195767196,-0.204232804232805,0.204232804232805,0.204232804232805,0,0.197373934463086,1.71312276498473,0.0190346973887192,0.00219304371625651,0.00667452156290221,0.0101671321095605
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,0.2,378,0.799999999999999,0.58994708994709,-0.210052910052909,0.210052910052909,0.210052910052909,0,0.153689050787827,0.990941499156275,0.0220209222034728,0.00341531223972949,0.00716358142917735,0.0114420285345659
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,0.5,378,0.5,0.362433862433862,-0.137566137566138,0.137566137566138,0.137566137566138,0,0.0808344596758327,0.493354554334174,0.0274085863518986,0.00449080331532404,0.00845035015635897,0.0144674328802156
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,0.05,378,0.950000000000002,0.891534391534392,-0.05846560846561,0.05846560846561,0.05846560846561,0,0.668327722327167,2.49247829810741,0.0138471016561523,0.00371293179070648,0.00527584388941582,0.00485832597602995
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,0.1,378,0.900000000000001,0.883597883597884,-0.016402116402117,0.016402116402117,0.016402116402117,0,0.499108402966657,1.61123036769155,0.0179025596410172,0.00554564892185174,0.00659867688224088,0.00575823383692462
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,0.2,378,0.799999999999999,0.812169312169312,0.0121693121693136,0.0121693121693136,0,0.0121693121693136,0.348521937938918,1.00607109493898,0.0223571354430884,0.00774493195419819,0.00735686279157119,0.00725534069731906
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,0.5,378,0.5,0.542328042328042,0.0423280423280423,0.0423280423280423,0,0.0423280423280423,0.171336044104177,0.545613348656479,0.0303118527031377,0.00951866911689872,0.0101501045883035,0.0106430789979354
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,0.05,378,0.950000000000002,0.896825396825397,-0.0531746031746047,0.0531746031746047,0.0531746031746047,0,0.702142897566708,2.90241818853501,0.0161245454918612,0.0039007938753706,0.00737387753764684,0.00484987407884371
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,0.1,378,0.900000000000001,0.862433862433862,-0.0375661375661381,0.0375661375661381,0.0375661375661381,0,0.488004250336488,1.75367188749135,0.0194852431943483,0.0054222694481832,0.0080386488833291,0.00602432486283599
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,0.2,378,0.799999999999999,0.798941798941799,-0.00105820105819965,0.00105820105819965,0.00105820105819965,0,0.345820908758132,1.0902550122398,0.0242278891608844,0.00768490908351405,0.00885904419749867,0.00768393587987169
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,0.5,378,0.5,0.515873015873016,0.0158730158730159,0.0158730158730159,0,0.0158730158730159,0.165875180445914,0.574187144570452,0.0318992858094696,0.00921528780255078,0.0112776255700796,0.0114063724368392
online_reestimate,Online parameter re-estimation,Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,0.05,378,0.950000000000002,0.928571428571429,-0.0214285714285729,0.0214285714285729,0.0214285714285729,0,0.827228223105344,2.02288241180458,0.0112382356211366,0.00459571235058525,0.00287912927830354,0.00376339399224778
