StrategyID,StrategyName,OrderTreatment,ParameterTreatment,Model,ExoMode,HorizonIdx,NumPoints,NumFiniteWIS,MeanWIS,MeanRawScaleWIS,MedianWIS,StdWIS,RMSE,MedianPointForecastRMSE,MAE,MeanAbsoluteError,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,1,27,27,0.0134281541264777,0.0134281541264777,0.0120191184570151,0.00346745674134735,0.0196262419471641,0.0196262419471641,0.0162738834479444,0.0162738834479444,0.00180820927199382,0.0113505502702585,0.000269394584225371,0,0.972222222222222,0.184722222222222,0.225462962962963,0.165979674254842
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,2,27,27,0.0230345062128375,0.0230345062128375,0.0183937710268432,0.0169953216179608,0.0618192408458174,0.0618192408458174,0.0388526072988003,0.0388526072988003,0.00431695636653337,0.0158725438653933,0.0024384820115886,0.000406523969322307,0.87962962962963,0.0921296296296296,0.246759259259259,0.232215589837686
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,3,27,27,0.0455106138100168,0.0455106138100168,0.0226969277480042,0.0933575852324277,0.150753736406356,0.150753736406356,0.0720844335172665,0.0720844335172665,0.0080093815019185,0.0193453066703363,0.0148619935097854,0.00329393212797662,0.861111111111111,0.0736111111111111,0.260648148148148,0.283156885440374
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,4,27,27,0.0565483788822427,0.0565483788822427,0.0288651357641937,0.104361360526957,0.175786833401801,0.175786833401801,0.0987867224576217,0.0987867224576217,0.0109763024952913,0.0220597981688371,0.0166290222042306,0.00688325601388373,0.833333333333333,0.0458333333333333,0.273611111111111,0.32304240854237
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,5,27,27,0.0650537913510214,0.0650537913510214,0.0316669903390883,0.115673195787942,0.197429822657832,0.197429822657832,0.116129659004561,0.116129659004561,0.0129032954449512,0.0245003614012458,0.0188155332263403,0.00883460127848408,0.796296296296296,0.0087962962962963,0.286574074074074,0.358952364763087
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,6,27,27,0.135802739353202,0.135802739353202,0.0367106154126402,0.330898785818161,0.409189306678655,0.409189306678655,0.197095822090747,0.197095822090747,0.0218995357878607,0.0264894331570807,0.0285750517507268,0.0588387186575339,0.768518518518518,-0.0189814814814815,0.300462962962963,0.388278320784089
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,7,27,27,0.130186905417137,0.130186905417137,0.0379595423594278,0.315534907905303,0.394832745856525,0.394832745856525,0.186852337205515,0.186852337205515,0.0207613708006128,0.0285984727200332,0.0272209277730265,0.0536061341234647,0.787037037037037,-0.000462962962962984,0.286574074074074,0.419391181618114
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,8,27,27,0.114984895694535,0.114984895694535,0.0389040538435313,0.264478849591343,0.344838251514842,0.344838251514842,0.163558817019957,0.163558817019957,0.0181732018911063,0.030551441654386,0.0262684356209471,0.0399918165280957,0.851851851851852,0.0643518518518518,0.266203703703704,0.448243463670724
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,9,27,27,0.0955067216812885,0.0955067216812885,0.0408725449490247,0.19067429898414,0.276117123389114,0.276117123389114,0.137635450780671,0.137635450780671,0.015292827864519,0.0323974969153229,0.0251144161630945,0.0227019807383521,0.87962962962963,0.0921296296296296,0.255092592592593,0.475553458169933
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,10,27,27,0.0788101560417362,0.0788101560417362,0.0416032266691313,0.130240078769114,0.221644414347131,0.221644414347131,0.125093408292323,0.125093408292323,0.0138992675880359,0.0341099947852334,0.0202351900457684,0.0105657036226985,0.87037037037037,0.0828703703703703,0.260648148148148,0.500927641906113
