Model,ExoMode,Strategy,ForecastConfiguration,OriginPosition,OriginDate,LeadTime,TargetDate,TargetRtEstimated,MedianForecast,Error,AbsoluteError,SquaredError,WIS,MeanCoverage,MeanIntervalWidth
"AR","None","partA_online_fit","5",1,"31-Dec-2020",11,"11-Jan-2021",0.400951392842372,1.0239352465724,0.622983853730023,0.622983853730023,0.388108882008311,0.260530461931385,0.5,1.47347154449973
"AR","None","partA_online_fit","5",1,"31-Dec-2020",12,"12-Jan-2021",0.828954850296998,1.04857172099313,0.219616870696136,0.219616870696136,0.0482315698943635,0.115576735199214,1,1.3487887927272
"AR","None","partA_online_fit","5",1,"31-Dec-2020",13,"13-Jan-2021",1.01799202401632,1.04151633158285,0.0235243075665292,0.0235243075665292,0.000553393046484665,0.101406559644344,1,1.33530776059715
"AR","None","partA_online_fit","5",1,"31-Dec-2020",14,"14-Jan-2021",1.32390131291701,1.06547034457663,-0.258430968340376,0.258430968340376,0.0667865653973444,0.140967401455641,1,1.55324517314716
"AR","None","partA_online_fit","5",2,"07-Jan-2021",1,"08-Jan-2021",1.34114446715532,0.98615000428773,-0.354994462867593,0.354994462867593,0.126021068666651,0.138165467238764,0.75,0.966211629319905
"AR","None","partA_online_fit","5",2,"07-Jan-2021",2,"09-Jan-2021",1.03463218093139,0.987950173005379,-0.0466820079260151,0.0466820079260151,0.00217920986400453,0.0840857731882788,1,1.19792230895152
"AR","None","partA_online_fit","5",2,"07-Jan-2021",3,"10-Jan-2021",0.830452383758157,0.906816659903525,0.0763642761453677,0.0763642761453677,0.00583150267120597,0.0913124732536086,1,1.27079998452484
"AR","None","partA_online_fit","5",2,"07-Jan-2021",4,"11-Jan-2021",0.400951392842372,1.04130078077972,0.640349387937349,0.640349387937349,0.410047338631737,0.317695013690831,0,1.30884059474227
"AR","None","partA_online_fit","5",2,"07-Jan-2021",5,"12-Jan-2021",0.828954850296998,1.16359113871965,0.334636288422651,0.334636288422651,0.111981445529287,0.150797784550691,1,1.70223396364721
"AR","None","partA_online_fit","5",2,"07-Jan-2021",6,"13-Jan-2021",1.01799202401632,1.15119929524423,0.133207271227914,0.133207271227914,0.0177441771079869,0.122812452751274,1,1.56176546901928
"AR","None","partA_online_fit","5",2,"07-Jan-2021",7,"14-Jan-2021",1.32390131291701,1.05466829697021,-0.269233015946796,0.269233015946796,0.0724864168758077,0.134424896764198,1,1.57904907589227
"AR","None","partA_online_fit","5",2,"07-Jan-2021",8,"15-Jan-2021",0.960229640450424,1.01854815524187,0.0583185147914448,0.0583185147914448,0.00340104916747996,0.110431513650182,1,1.50839418762378
"AR","None","partA_online_fit","5",2,"07-Jan-2021",9,"16-Jan-2021",0.834075742707592,1.00388084499039,0.169805102282796,0.169805102282796,0.0288337727612709,0.122090123618024,1,1.61708870035429
"AR","None","partA_online_fit","5",2,"07-Jan-2021",10,"17-Jan-2021",0.426410721510203,1.2071513582244,0.780740636714198,0.780740636714198,0.609555941816892,0.343282440425514,0,1.46086267080562
