ComparisonType,ModelOrStrategy,LeftLabel,RightLabel,NumMatchedOrigins,MeanWISDifference,MedianWISDifference,MinWISDifference,MaxWISDifference,ProportionLeftBetter,ProportionEqual,ProportionRightBetter
"model_within_strategy","partA_online_fit","ARX/I","AR/None",22,-0.0119801637850349,-0.0120477542653179,-0.0363536315692936,0.0165965892784126,0.863636363636364,0,0.136363636363636
"model_within_strategy","local_online_fit","ARX/I","AR/None",22,0.0180726584256397,0.0281295185554328,-0.0883037957118251,0.0568390894624769,0.136363636363636,0,0.863636363636364
"model_within_strategy","partA_fixed_fit","ARX/I","AR/None",22,-0.0014832785873117,-0.000434188339311331,-0.0304164237355876,0.0396428911836835,0.545454545454545,0,0.454545454545455
"fixed_vs_online_within_model","AR/None","partA_fixed_fit","partA_online_fit",22,-0.00330287590005832,0.000966881145672088,-0.0644833990164178,0.0243898859655951,0.454545454545455,0.0454545454545455,0.5
"local_vs_partA_online_within_model","AR/None","local_online_fit","partA_online_fit",22,-0.0615251961093058,-0.0781445544206649,-0.101893911177967,0.0595585712882499,0.909090909090909,0,0.0909090909090909
"fixed_vs_online_within_model","ARX/I","partA_fixed_fit","partA_online_fit",22,0.00719400929766484,0.0125922614465672,-0.027750304696905,0.0275070249597488,0.272727272727273,0.0454545454545455,0.681818181818182
"local_vs_partA_online_within_model","ARX/I","local_online_fit","partA_online_fit",22,-0.0314723738986312,-0.0345841894878425,-0.0616118276634743,0.0348350392367316,0.909090909090909,0,0.0909090909090909
