Model,ExoMode,Strategy,ForecastConfiguration,OriginPosition,OriginDate,Alpha,NominalCoverage,EmpiricalCoverage,CoverageError,MeanIntervalWidth
"AR","None","partA_online_fit","5",12,"18-Mar-2021",0.1,0.9,0.857142857142857,-0.0428571428571429,1.86371607848142
"AR","None","partA_online_fit","5",12,"18-Mar-2021",0.2,0.8,0.857142857142857,0.0571428571428571,1.42943331689339
"AR","None","partA_online_fit","5",12,"18-Mar-2021",0.5,0.5,0.428571428571429,-0.0714285714285715,0.714804242835804
"AR","None","partA_online_fit","5",13,"25-Mar-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,2.61359547713722
"AR","None","partA_online_fit","5",13,"25-Mar-2021",0.1,0.9,0.928571428571429,0.0285714285714286,2.0967973474757
"AR","None","partA_online_fit","5",13,"25-Mar-2021",0.2,0.8,0.857142857142857,0.0571428571428571,1.51253781663006
"AR","None","partA_online_fit","5",13,"25-Mar-2021",0.5,0.5,0.571428571428571,0.0714285714285714,0.772096890637801
"AR","None","partA_online_fit","5",14,"01-Apr-2021",0.05,0.95,1,0.05,2.39300642450458
"AR","None","partA_online_fit","5",14,"01-Apr-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.78964474184913
"AR","None","partA_online_fit","5",14,"01-Apr-2021",0.2,0.8,0.928571428571429,0.128571428571429,1.37854786288587
"AR","None","partA_online_fit","5",14,"01-Apr-2021",0.5,0.5,0.5,0,0.731136488336999
"AR","None","partA_online_fit","5",15,"08-Apr-2021",0.05,0.95,1,0.05,2.05788158680252
"AR","None","partA_online_fit","5",15,"08-Apr-2021",0.1,0.9,1,0.1,1.74763897967775
"AR","None","partA_online_fit","5",15,"08-Apr-2021",0.2,0.8,0.857142857142857,0.0571428571428571,1.35688883276529
"AR","None","partA_online_fit","5",15,"08-Apr-2021",0.5,0.5,0.642857142857143,0.142857142857143,0.677456474239143
"AR","None","partA_online_fit","5",16,"15-Apr-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,2.15998318743735
"AR","None","partA_online_fit","5",16,"15-Apr-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.75808967884768
"AR","None","partA_online_fit","5",16,"15-Apr-2021",0.2,0.8,0.857142857142857,0.0571428571428571,1.35996272690042
"AR","None","partA_online_fit","5",16,"15-Apr-2021",0.5,0.5,0.642857142857143,0.142857142857143,0.694879716633314
"AR","None","partA_online_fit","5",17,"22-Apr-2021",0.05,0.95,1,0.05,2.17532112536809
"AR","None","partA_online_fit","5",17,"22-Apr-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.73653062801082
"AR","None","partA_online_fit","5",17,"22-Apr-2021",0.2,0.8,0.857142857142857,0.0571428571428571,1.33336138897911
"AR","None","partA_online_fit","5",17,"22-Apr-2021",0.5,0.5,0.642857142857143,0.142857142857143,0.669343588750823
"AR","None","partA_online_fit","5",18,"29-Apr-2021",0.05,0.95,1,0.05,2.37278168263603
"AR","None","partA_online_fit","5",18,"29-Apr-2021",0.1,0.9,0.857142857142857,-0.0428571428571429,1.82333204267078
"AR","None","partA_online_fit","5",18,"29-Apr-2021",0.2,0.8,0.857142857142857,0.0571428571428571,1.36074038715333
"AR","None","partA_online_fit","5",18,"29-Apr-2021",0.5,0.5,0.714285714285714,0.214285714285714,0.713629227863869
"AR","None","partA_online_fit","5",19,"06-May-2021",0.05,0.95,0.928571428571429,-0.0214285714285714,2.42878832299805
"AR","None","partA_online_fit","5",19,"06-May-2021",0.1,0.9,0.928571428571429,0.0285714285714286,1.91664741118664
"AR","None","partA_online_fit","5",19,"06-May-2021",0.2,0.8,0.785714285714286,-0.0142857142857143,1.48056320756239
"AR","None","partA_online_fit","5",19,"06-May-2021",0.5,0.5,0.571428571428571,0.0714285714285714,0.690095868941286
"AR","None","partA_online_fit","5",20,"13-May-2021",0.05,0.95,0.857142857142857,-0.0928571428571429,2.31869124284693
"AR","None","partA_online_fit","5",20,"13-May-2021",0.1,0.9,0.785714285714286,-0.114285714285714,1.97128047667405
"AR","None","partA_online_fit","5",20,"13-May-2021",0.2,0.8,0.714285714285714,-0.0857142857142857,1.43598587869378
"AR","None","partA_online_fit","5",20,"13-May-2021",0.5,0.5,0.357142857142857,-0.142857142857143,0.687062131835091
"AR","None","partA_online_fit","5",21,"20-May-2021",0.05,0.95,0.714285714285714,-0.235714285714286,2.40559478840725
"AR","None","partA_online_fit","5",21,"20-May-2021",0.1,0.9,0.714285714285714,-0.185714285714286,1.94399425463077
"AR","None","partA_online_fit","5",21,"20-May-2021",0.2,0.8,0.5,-0.3,1.502986694323
"AR","None","partA_online_fit","5",21,"20-May-2021",0.5,0.5,0.357142857142857,-0.142857142857143,0.743203458369182
"AR","None","partA_online_fit","5",22,"27-May-2021",0.05,0.95,0.571428571428571,-0.378571428571429,2.1256549142059
"AR","None","partA_online_fit","5",22,"27-May-2021",0.1,0.9,0.5,-0.4,1.69563628201887
"AR","None","partA_online_fit","5",22,"27-May-2021",0.2,0.8,0.428571428571429,-0.371428571428571,1.33118685170689
