StrategyID,StrategyName,OrderTreatment,ParameterTreatment,Model,ExoMode,NumWindows,NumValidWindows,NumFiniteWIS,MeanWIS,MedianWIS,StdWIS,MinWIS,MaxWIS,MeanRMSE,MeanMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,AR,None,27,27,27,0.0845740502263173,0.0405442230442772,0.1288165460873,0.0308657352567738,0.559084544473212,0.170251318906229,0.131125120551472,0.0145694578390524,0.0284134394238995,0.0187745366660277,0.0228166162973378,0.847222222222222,0.0597222222222222,0.267526455026455,0.417013570001947
fixed_parameters,Fixed-parameter transfer,Part A-selected order,Fit once on initial real-data calibration segment,ARX,I,27,27,27,0.0972741325724866,0.0339702464735386,0.152091960623748,0.0132165361560729,0.6448914260479,0.170966749059449,0.131802223338777,0.0146446914820863,0.0107878739257054,0.027130463065383,0.0447111040993118,0.568783068783069,-0.218716931216931,0.408002645502646,0.157751046905826
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,27,27,27,0.0870616901344734,0.0452735192128505,0.126357369136769,0.030157006746222,0.561895048694798,0.172825279470238,0.133763884964562,0.0148626538849514,0.0286136242924734,0.0191118071279447,0.0244736048291039,0.819444444444445,0.0319444444444444,0.274537037037037,0.462190233453388
local_order_retuning,Local order retuning,Local real-data order retuning around Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,27,27,27,0.0897398493861128,0.040261682344341,0.131903274968842,0.0216684202755468,0.574542770908846,0.177821635437281,0.136701813312623,0.0151890903680692,0.0252792936329154,0.0206717301977761,0.0285997351873521,0.783068783068783,-0.00443121693121693,0.293253968253968,0.421783366814766
online_reestimate,Online parameter re-estimation,Part A-selected order,Re-estimate parameters at each forecast origin,AR,None,27,27,27,0.0870616901344734,0.0452735192128505,0.126357369136769,0.030157006746222,0.561895048694798,0.172825279470238,0.133763884964562,0.0148626538849514,0.0286136242924734,0.0191118071279447,0.0244736048291039,0.819444444444445,0.0319444444444444,0.274537037037037,0.462190233453388
online_reestimate,Online parameter re-estimation,Part A-selected order,Re-estimate parameters at each forecast origin,ARX,I,27,27,27,0.0900380003530163,0.0423962593399548,0.132689962122013,0.0249383756140772,0.59373841342513,0.178058372411833,0.137955118008504,0.0153283464453893,0.0277203758546417,0.020707382470232,0.0262818955827532,0.810185185185185,0.0226851851851852,0.281547619047619,0.457547603473995
