Scenario,Model,ExoMode,OrderText,p,na,nb,nk,MeanCalibrationWIS,CalibrationWindows
real,AR,None,"p=4",4,NaN,NaN,NaN,0.0623103366596126,108
real,ARX,I,"na=8, nb=1, nk=4",NaN,8,1,4,0.063142834620677,108
