CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Model,ExoMode,NumWindows,NumValidWindows,NumFailedWindows,FailureRate,MeanWIS,MedianWIS,StdWIS,MeanRMSE,MeanMAE,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,176,176,0,0,0.0509987350690018,0.0415193478635207,0.054866330963764,0.113668505216315,0.102549181402303,0.862824675324675,0.0753246753246753,0.235470779220779,0.422457015845585,0.0113943534891448,0.02887784096406,0.0068738529212195,0.00385268769457749
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,ARX,I,176,175,1,0.00568181818181818,0.0627522380242645,0.0430723644032067,0.0800282699754549,0.142514269248375,0.123760985098619,0.824897959183674,0.0373979591836735,0.256244897959184,0.451717381958552,0.0137512205665133,0.0305064302197324,0.0113904667354193,0.00710412050259943
