CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Model,ExoMode,Alpha,NumIntervalPoints,NominalCoverage,MeanCoverage,CoverageBias,AbsoluteCalibrationError,MeanIntervalWidth,MeanIntervalScore,MeanWISIntervalComponent,MeanWISSharpnessComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,0.05,2464,0.949999999999999,0.982142857142857,0.0321428571428584,0.0321428571428584,0.592065524649636,0.784177700658336,0.0043565427814352,0.00328925291472021,0.00101946045551916,4.78294111958367e-05
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,0.1,2464,0.89999999999999,0.95900974025974,0.0590097402597507,0.0590097402597507,0.494286494000238,0.611342092757318,0.00679268991952576,0.0054920721555582,0.00114365653814999,0.000156961225817565
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,0.2,2464,0.800000000000008,0.904626623376623,0.104626623376616,0.104626623376616,0.382857378901274,0.4805133424105,0.0106780742757889,0.00850794175336165,0.00150932250408285,0.000660810018344389
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,0.5,2464,0.5,0.618100649350649,0.118100649350649,0.118100649350649,0.200413408793177,0.325225891391632,0.0180681050773129,0.0111340782662876,0.00370589136945458,0.00322813544157067
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,ARX,I,0.05,2464,0.949999999999999,0.946022727272727,-0.00397727272727144,0.00397727272727144,0.604421223315953,0.938688483562194,0.00521493601978997,0.00335789568508863,0.00146335352296922,0.000393686811732118
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,ARX,I,0.1,2464,0.89999999999999,0.909496753246753,0.00949675324676369,0.00949675324676369,0.492870474847872,0.728946531780752,0.00809940590867503,0.00547633860942081,0.00194059141092729,0.000682475888326925
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,ARX,I,0.2,2464,0.800000000000008,0.824675324675325,0.0246753246753169,0.0246753246753169,0.380640918857709,0.575024592151504,0.0127783242700334,0.00845868708572688,0.00305680334658697,0.00126283383771958
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,ARX,I,0.5,2464,0.5,0.532061688311688,0.0320616883116883,0.0320616883116883,0.198749365903722,0.39607346096343,0.022004081164635,0.0110416314390956,0.00686180319444081,0.00410064653109854
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,0.05,2464,0.949999999999999,0.984577922077922,0.0345779220779233,0.0345779220779233,0.596570586509712,0.759311981791539,0.00421839989884188,0.00331428103616507,0.000887719406408788,1.63994562680261e-05
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,0.1,2464,0.89999999999999,0.969155844155844,0.0691558441558545,0.0691558441558545,0.499459487399525,0.602837491829,0.00669819435365555,0.00554954985999472,0.00104647941454457,0.000102165079116261
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,0.2,2464,0.800000000000008,0.91112012987013,0.111120129870122,0.111120129870122,0.389243013751502,0.473230311732122,0.0105162291496027,0.00864984475003339,0.00135764126075221,0.00050874313881711
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,0.5,2464,0.5,0.586444805194805,0.0864448051948052,0.0864448051948052,0.204554975721602,0.327088047199623,0.0181715581777568,0.0113641653178668,0.00358201283951394,0.0032253800203761
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,ARX,I,0.05,2464,0.949999999999999,0.953327922077922,0.00332792207792332,0.00332792207792332,101.29534077563,8896.03776540015,49.4224320300008,0.562751893197941,48.8592240424704,0.000456094332530769
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,ARX,I,0.1,2464,0.89999999999999,0.927353896103896,0.0273538961039065,0.0273538961039065,84.8556692736505,4617.56863616625,51.3063181796251,0.942840769707226,50.3626869129579,0.000790496959954701
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,ARX,I,0.2,2464,0.800000000000008,0.855113636363636,0.0551136363636285,0.0551136363636285,65.9997575759686,2412.99010714599,53.6220023810221,1.46666127946596,52.153910206993,0.00143089456308145
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,ARX,I,0.5,2464,0.5,0.545048701298701,0.0450487012987013,0.0450487012987013,34.6692674871093,1030.01134774279,57.2228526523774,1.92607041595052,55.2923959661009,0.00438627032599501
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,AR,None,0.05,2464,0.949999999999999,0.72362012987013,-0.226379870129869,0.226379870129869,0.0277295280543326,0.184462550751057,0.00102479194861699,0.000154052933635181,0.000869879928997613,8.59085984192499e-07
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,AR,None,0.1,2464,0.89999999999999,0.656655844155844,-0.243344155844145,0.243344155844145,0.0210381879407102,0.100948336193867,0.00112164817993185,0.000233757643785669,0.000886690701804093,1.19983434208933e-06
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,AR,None,0.2,2464,0.800000000000008,0.581574675324675,-0.218425324675332,0.218425324675332,0.0132310768739232,0.0543041549057958,0.00120675899790658,0.000294023930531626,0.000911009254593858,1.72581278109168e-06
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,AR,None,0.5,2464,0.5,0.342126623376623,-0.157873376623377,0.157873376623377,0.00416973380119232,0.0223516601531003,0.00124175889739446,0.000231651877844018,0.00100642916879884,3.67785075160698e-06
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,ARX,I,0.05,2464,0.949999999999999,0.517857142857143,-0.432142857142856,0.432142857142856,0.0244724382189511,0.363248606380925,0.00201804781322736,0.000135957990105284,0.000957033467655032,0.000925056355467042
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,ARX,I,0.1,2464,0.89999999999999,0.469155844155844,-0.430844155844145,0.430844155844145,0.0188838941424957,0.188305846317405,0.0020922871813045,0.00020982104602773,0.000957292846724829,0.000925173288551941
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,ARX,I,0.2,2464,0.800000000000008,0.406655844155844,-0.393344155844164,0.393344155844164,0.0122435987634317,0.0969798733223277,0.00215510829605173,0.000272079972520705,0.000957702518369399,0.000925325805161624
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,ARX,I,0.5,2464,0.5,0.204545454545455,-0.295454545454545,0.295454545454545,0.0038959001158165,0.0388626962850304,0.00215903868250169,0.000216438895323139,0.00101681251723189,0.000925787269946663
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,AR,None,0.05,2464,0.949999999999999,0.72362012987013,-0.226379870129869,0.226379870129869,0.0277295280543326,0.184462550751057,0.00102479194861699,0.000154052933635181,0.000869879928997613,8.59085984192499e-07
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,AR,None,0.1,2464,0.89999999999999,0.656655844155844,-0.243344155844145,0.243344155844145,0.0210381879407102,0.100948336193867,0.00112164817993185,0.000233757643785669,0.000886690701804093,1.19983434208933e-06
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,AR,None,0.2,2464,0.800000000000008,0.581574675324675,-0.218425324675332,0.218425324675332,0.0132310768739232,0.0543041549057958,0.00120675899790658,0.000294023930531626,0.000911009254593858,1.72581278109168e-06
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,AR,None,0.5,2464,0.5,0.342126623376623,-0.157873376623377,0.157873376623377,0.00416973380119232,0.0223516601531003,0.00124175889739446,0.000231651877844018,0.00100642916879884,3.67785075160698e-06
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,ARX,I,0.05,2464,0.949999999999999,0.489042207792208,-0.460957792207791,0.460957792207791,0.0241317897186123,0.28435411986955,0.00157974511038639,0.000134065498436735,0.00144351402424205,2.16558770760302e-06
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,ARX,I,0.1,2464,0.89999999999999,0.459821428571429,-0.440178571428561,0.440178571428561,0.0186634924726264,0.14880841841309,0.00165342687125656,0.000207372138584737,0.00144378327030782,2.2714623640033e-06
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,ARX,I,0.2,2464,0.800000000000008,0.398133116883117,-0.401866883116891,0.401866883116891,0.0121609237988422,0.0772634792749373,0.00171696620610972,0.000270242751085381,0.00144433744794999,2.38600707434395e-06
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,ARX,I,0.5,2464,0.5,0.185876623376623,-0.314123376623377,0.314123376623377,0.0039482539347755,0.0311822004084,0.00173234446713333,0.000219347440820861,0.00150988978793232,3.10723838015565e-06
