CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,ReplicateID,Model,ExoMode,NumWindows,NumValidWindows,MeanWIS,MedianWIS,StdWIS,MeanRMSE,MeanMAE,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,AR,None,176,176,0.0490878257153434,0.0361867827626019,0.0543900697721874,0.104788711357111,0.0941059283381482,0.869419642857143,0.0819196428571428,0.239377029220779,0.400409919054114,0.0104562142597942,0.0273302601168973,0.0065377895882088,0.00476356175044305
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,1,ARX,I,176,176,0.0658498148987792,0.0433500526233561,0.0747960060151315,0.1476721410158,0.130491245819329,0.801948051948052,0.0144480519480519,0.275405844155844,0.418820998596365,0.0144990273132587,0.0286355200786001,0.0142256954018703,0.00848957210505012
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,2,AR,None,176,176,0.0520637628173641,0.0376057456749818,0.0587355122244445,0.114094323808545,0.102396981297935,0.865767045454545,0.0782670454545455,0.240939529220779,0.41633503592635,0.0113774423664373,0.0284650922582919,0.00739082429204823,0.00483040390058664
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,2,ARX,I,176,176,0.0705190756999099,0.0419057101061891,0.0831969249655597,0.153071549879192,0.135869231258538,0.782974837662338,-0.00452516233766234,0.285633116883117,0.414872410226819,0.0150965812509486,0.028219070413397,0.0170676120831539,0.0101358119524103
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,1,AR,None,176,176,0.0533132291864929,0.0399587223448167,0.0543363244951002,0.116488397033866,0.105863726821884,0.851055194805195,0.0635551948051948,0.245921266233766,0.420446891265646,0.0117626363135427,0.0287392690854548,0.00714160542122576,0.00566971836626967
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,1,ARX,I,176,176,0.0737385454730496,0.0424469092495637,0.0874623288898018,0.155953607801285,0.140146167486891,0.757102272727273,-0.0303977272727273,0.300903003246753,0.418252023048723,0.0155717963874324,0.0284979352710289,0.0151707795619399,0.0144980342526484
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,AR,None,176,176,0.00528854189090792,1.92921357047636e-05,0.0365839703399698,0.00820847816465874,0.0062422548035224,0.575994318181818,-0.211505681818182,0.406118100649351,0.0165421316675396,0.000693583867058044,0.000913486385796494,0.0036740090541944,7.46258385898049e-06
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,1,ARX,I,176,176,0.00764252533087429,0.000332397341367819,0.0536014979490632,0.0120470805973795,0.00917884874339091,0.375101461038961,-0.412398538961039,0.521053165584416,0.0161601827385984,0.00101987208259899,0.000899152198520373,0.00405348827539793,0.00167001277435699
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,2,AR,None,176,176,0.00528854189090792,1.92921357047636e-05,0.0365839703399698,0.00820847816465874,0.0062422548035224,0.575994318181818,-0.211505681818182,0.406118100649351,0.0165421316675396,0.000693583867058044,0.000913486385796494,0.0036740090541944,7.46258385898049e-06
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,2,ARX,I,176,176,0.00762666789131126,0.000270922367585311,0.0536039271319111,0.011992644497761,0.0091453472569965,0.395089285714286,-0.392410714285714,0.508816964285714,0.0161661371814035,0.00101614969522183,0.000899369531386843,0.0040488149270564,0.00166233373764619
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,AR,None,176,176,0.00528854189090792,1.92921357047636e-05,0.0365839703399698,0.00820847816465874,0.0062422548035224,0.575994318181818,-0.211505681818182,0.406118100649351,0.0165421316675396,0.000693583867058044,0.000913486385796494,0.0036740090541944,7.46258385898049e-06
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,1,ARX,I,176,176,0.00759719558598164,0.000227741614682608,0.0536367213096097,0.0117570932758093,0.00897328828974563,0.397727272727273,-0.389772727272727,0.513007305194805,0.0159406344610282,0.000997032032193959,0.000887722557250531,0.00401249621991441,0.00169994477662274
