CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Model,ExoMode,HorizonIdx,NumPoints,MeanWIS,MedianWIS,StdWIS,RMSE,MAE,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,1,176,0.0306368283360239,0.0276938875541019,0.0164988288474544,0.0756504926560811,0.0579772297349825,0.917613636363636,0.130113636363636,0.224147727272727,0.311741922216877,0.00644191441499806,0.0216692621438558,0.00187985458289809,0.000645797194272027
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,2,176,0.0361781225767706,0.0304040651079713,0.0211609838680688,0.0935782087612729,0.0716695469165046,0.899147727272727,0.111647727272727,0.227698863636364,0.348799556908387,0.00796328299072274,0.024111440952192,0.00265649124940503,0.00144690738445079
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,3,176,0.0402849061522347,0.0360493667433363,0.0236281181145422,0.0999195592345009,0.0750777359102015,0.914772727272727,0.127272727272727,0.222585227272727,0.414280968775854,0.00834197065668905,0.0285243192902483,0.00248679301063192,0.000931823194665428
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,4,176,0.0447629302392349,0.0422851208273043,0.032723332862254,0.112397660530929,0.0816025779203103,0.913352272727273,0.125852272727273,0.219176136363637,0.45309983977538,0.0090669531022567,0.0310394688397255,0.00299713930240082,0.00165936899485188
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,5,176,0.0501283595681822,0.0444400506334749,0.0372109721456424,0.128119380285052,0.0942683628662851,0.914772727272727,0.127272727272727,0.221164772727273,0.4965368457676,0.0104742625406983,0.0339827014670237,0.00367619169641881,0.00199520386404139
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,6,176,0.05458887662793,0.0490813024023034,0.04362183581602,0.1430160598007,0.10424566939964,0.903409090909091,0.115909090909091,0.225710227272727,0.527687919681623,0.0115828521555156,0.0359665754069195,0.00422738656684916,0.0028120624986459
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,7,176,0.0588568914766884,0.0527462688481456,0.0453897424535724,0.15188178422677,0.113541802406673,0.899147727272727,0.111647727272727,0.223153409090909,0.560949155980453,0.0126157558229637,0.0382029112763926,0.00466838465872454,0.00336983971860755
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,8,176,0.062697002499245,0.0558630079642231,0.0507307172878955,0.163814781009706,0.120911602264242,0.887784090909091,0.100284090909091,0.227698863636364,0.588719609973045,0.0134346224738046,0.0400769653179052,0.00509747848906322,0.00408793621847187
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,9,176,0.066889940415491,0.0581428330777039,0.0522840312986073,0.179642810439876,0.132200409839524,0.872159090909091,0.0846590909090909,0.232102272727273,0.613327241357958,0.0146889344266138,0.0416747528755945,0.00543638181241053,0.00508987130087213
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,10,176,0.0711355383323336,0.0629733094109024,0.0551109028032265,0.190052954425125,0.141662278413279,0.870738636363636,0.0832386363636363,0.235795454545455,0.638091287501709,0.015740253157031,0.0435244407184582,0.00572875944346842,0.00614208501337601
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,11,176,0.0751158021807415,0.062508519090235,0.0564863091997331,0.198675763126495,0.148696919267478,0.859375,0.071875,0.240340909090909,0.666863748342772,0.0165218799186087,0.0453920963153077,0.0067243153799967,0.00647751056682844
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,12,176,0.08042763613263,0.0663333348747901,0.061558262894063,0.212110650079027,0.159835502257002,0.849431818181818,0.0619318181818182,0.246022727272727,0.679824567411372,0.017759500250778,0.0464411923913502,0.00756722367066052,0.00865971981984126
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,13,176,0.0836573757050094,0.069964980434148,0.0640418652509365,0.225245015129224,0.167010399529692,0.855113636363636,0.0676136363636363,0.2453125,0.702446035291865,0.0185567110588547,0.0479147814958531,0.00811144056241295,0.00907444258788871
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,14,176,0.08828760977607,0.0717585455627489,0.0679526572405718,0.236387219539041,0.175805975995739,0.825284090909091,0.0377840909090908,0.257244318181818,0.720759886891044,0.0195339973328598,0.0491172982637789,0.00881956877338804,0.0108167454060433
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,ARX,I,1,176,0.0308789446046429,0.0280438650079304,0.0166310863563676,0.0810850434089499,0.0605247535151384,0.903409090909091,0.115909090909091,0.222159090909091,0.310665920169372,0.00672497261279316,0.0214966463180509,0.00163142078777058,0.00102590488602825
