CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Scenario,ScenarioName,Model,ExoMode,NumWindows,NumValidWindows,NumFailedWindows,FailureRate,MeanWIS,MedianWIS,StdWIS,MeanRMSE,MeanMAE,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,44,44,0,0,0.0348071591571097,0.0331261646618162,0.0101128381370653,0.0769537136404281,0.070468561370469,0.895698051948052,0.108198051948052,0.219074675324675,0.343777634628874,0.00782984015227433,0.0236213987591638,0.00136683441043997,0.00198908583523163
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,ARX,I,44,44,0,0,0.0398577334667444,0.0339758175188517,0.0252022429869307,0.0887070654141612,0.0799896627153779,0.816152597402597,0.0286525974025974,0.263392857142857,0.310994767605969,0.00888774030170865,0.0212331172411661,0.00331587675272227,0.0064209991711474
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A2,Policy Intervention,AR,None,44,44,0,0,0.0476508504004073,0.0251553398795169,0.105965328155177,0.0757488331243052,0.0675619999111209,0.924512987012987,0.137012987012987,0.235714285714286,0.312577058867179,0.00750688887901343,0.0213655383737855,0.0184424856647069,0.000335937482901467
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A2,Policy Intervention,ARX,I,44,44,0,0,0.0538701751383122,0.0266355085651848,0.112338040942524,0.092079808070747,0.0826079441159289,0.876217532467532,0.0887175324675325,0.24788961038961,0.301529294077152,0.00917866045732543,0.0207142893486018,0.0199054109037794,0.00407181442860547
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A3,Damping Resurgence,AR,None,44,44,0,0,0.0647340538589758,0.0576941062685577,0.0280758823463575,0.157360512966229,0.142436125442741,0.809253246753247,0.0217532467532468,0.251501623376623,0.529223586685959,0.0158262361603046,0.0358274945862489,0.00608421845424219,0.00699610465818011
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A3,Damping Resurgence,ARX,I,44,44,0,0,0.0812891410932603,0.0568287275391322,0.0717661430019341,0.204838393414203,0.17602386695524,0.767857142857143,-0.0196428571428571,0.279261363636364,0.564851890593306,0.0195582074394711,0.0374793638920004,0.0196383789043347,0.00461319085745416
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A4,Amplifying Resurgence,AR,None,44,44,0,0,0.0573035653041303,0.052417204063884,0.0252530735736083,0.138085009962399,0.123759137815019,0.834415584415584,0.0469155844155844,0.249797077922078,0.484044526162314,0.0137510153127799,0.0328789486405125,0.00361978493943731,0.00705381641140064
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A4,Amplifying Resurgence,ARX,I,44,44,0,0,0.0719835328962085,0.0573104823913268,0.0435811659509925,0.171351078261134,0.152900864491379,0.752029220779221,-0.0354707792207792,0.285633116883117,0.49930603064883,0.0169889849434865,0.0339114407955595,0.0104305393388608,0.0106525678183016
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,44,44,0,0,0.0349739217899456,0.0339752776867573,0.0106336663271774,0.0815737720510556,0.0750904931941895,0.882305194805195,0.0948051948051948,0.221266233766234,0.325613328672379,0.00834338813268772,0.0228449234691213,0.0020887388224003,0.00169687136573628
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,ARX,I,44,44,0,0,0.0382013862820442,0.0330693934633163,0.0179882865226714,0.0881483838748137,0.0815053887970853,0.843344155844156,0.0558441558441558,0.248092532467532,0.310303176841344,0.00905615431078726,0.0218115872023582,0.0019406454207135,0.00539299934818528
