CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,WindowWIS,WindowRawScaleWIS,WindowRMSE,WindowMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,IsValid,IntervalMethod,IntervalStatus,RecordedStatus,AICC
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,119,120,0.0203046968117322,0.0203046968117322,0.0274065006360393,0.0245700472591516,0.00273000525101685,0.0175746915607153,0,0,1,0.2125,0.2125,0.253062836026272,1,closed_loop_monte_carlo,ok,ok,-248.291680621111
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,126,127,0.0187744451947447,0.0187744451947447,0.017816114342764,0.01385405259879,0.00153933917764334,0.0172351060171013,0,0,1,0.2125,0.2125,0.242981878878009,1,closed_loop_monte_carlo,ok,ok,-263.459577034802
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,133,134,0.0184223228966032,0.0184223228966032,0.0114048839562239,0.00952046707657174,0.00105782967517464,0.0173644932214286,0,0,1,0.2125,0.2125,0.244970652039729,1,closed_loop_monte_carlo,ok,ok,-278.178699440447
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,140,141,0.0238261082859144,0.0238261082859144,0.0556369655343482,0.0502896371736195,0.0055877374637355,0.0174794372721501,0,0.000758933550028831,0.946428571428571,0.158928571428571,0.2125,0.245778120066576,1,closed_loop_monte_carlo,ok,ok,-292.499889609512
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,147,148,0.0325770804292951,0.0325770804292951,0.092930040890159,0.0895766531216956,0.00995296145796618,0.0181649899625234,0,0.00445912900880551,0.821428571428571,0.0339285714285714,0.2125,0.255048291726335,1,closed_loop_monte_carlo,ok,ok,-310.741191815417
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,154,155,0.0350694873178024,0.0350694873178024,0.101484180218363,0.0937694915908028,0.0104188323989781,0.0172955818309292,0,0.0073550730878951,0.785714285714286,-0.00178571428571429,0.223214285714286,0.250449728056952,1,closed_loop_monte_carlo,ok,ok,-322.88696960342
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,161,162,0.023862334228082,0.023862334228082,0.0507793813221964,0.0384106679995058,0.00426785199994509,0.0193679740853005,0,0.000226508142836404,0.964285714285714,0.176785714285714,0.2125,0.270635776386143,1,closed_loop_monte_carlo,ok,ok,-338.04763987091
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,168,169,0.0390252148707202,0.0390252148707202,0.115147804130519,0.109862413246683,0.012206934805187,0.0199876143863063,0,0.00683066567922693,0.767857142857143,-0.0196428571428571,0.233928571428571,0.28013586210602,1,closed_loop_monte_carlo,ok,ok,-347.296100074113
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,175,176,0.0395955161159222,0.0395955161159222,0.116799253631104,0.105101989627575,0.0116779988475083,0.023719071625985,0,0.00419844564242894,0.875,0.0875,0.2125,0.338959859122986,1,closed_loop_monte_carlo,ok,ok,-360.285429447665
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,182,183,0.0311729985924107,0.0311729985924107,0.0656435084975434,0.0551372966190223,0.00612636629100248,0.0241337101900436,0,0.000912922111364668,0.928571428571429,0.141071428571429,0.2125,0.338117891798355,1,closed_loop_monte_carlo,ok,ok,-372.278847249482
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,189,190,0.0484840915064454,0.0484840915064454,0.142131844900789,0.135350799246595,0.0150389776940661,0.024608102424196,0,0.0088370113881832,0.75,-0.0375,0.233928571428571,0.343999264045852,1,closed_loop_monte_carlo,ok,ok,-386.467845423315
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,196,197,0.0520942817287398,0.0520942817287398,0.145739896294584,0.140721024574209,0.0156356693971344,0.0244019612328177,0,0.0120566510987877,0.732142857142857,-0.0553571428571429,0.233928571428571,0.342253782716323,1,closed_loop_monte_carlo,ok,ok,-399.447625343642
