Case,Model,ExoMode,HorizonIdx,MeanWIS,MeanAbsoluteError,MeanSquaredError,RMSE,MeanCoverage,MeanIntervalWidth
combined_stress,AR,None,1,0.0232540451876103,0.0425749142960547,0.00286930323610541,0.0535658775351008,0.924715909090909,0.246375395623736
combined_stress,AR,None,2,0.0254332764098431,0.0475215000566796,0.00360885286760703,0.0600737285975079,0.915482954545455,0.265289621807052
combined_stress,AR,None,3,0.0277182838881487,0.050193991848022,0.00399560204105309,0.0632107747227725,0.928693181818182,0.297523344290045
combined_stress,AR,None,4,0.0297207673364743,0.0555680555609475,0.00484891108722624,0.0696341230089548,0.920028409090909,0.312261828071324
combined_stress,AR,None,5,0.0317451625413086,0.0607847527989458,0.0057862455359634,0.0760673749774724,0.912926136363637,0.326565701375254
combined_stress,AR,None,6,0.0333509937285087,0.0643205873893174,0.00642008156526528,0.0801254114826581,0.903551136363636,0.336558808424015
combined_stress,AR,None,7,0.0347090884099451,0.0680921257859353,0.0071539252038255,0.0845808796586173,0.894460227272727,0.34520385772983
combined_stress,AR,None,8,0.0362942313576556,0.0723051050445898,0.00808445446190863,0.0899135944221375,0.885369318181818,0.351964002490796
combined_stress,AR,None,9,0.0373822999942943,0.0751536564113724,0.00863805783140702,0.0929411525181769,0.88125,0.360458422618103
combined_stress,AR,None,10,0.0387062593661229,0.0780460415660073,0.00925355366275714,0.0961953931472663,0.871448863636364,0.365379428367631
combined_stress,AR,None,11,0.0394374889127739,0.0803503220791418,0.00979816280254374,0.0989856696827563,0.868465909090909,0.370204276011863
combined_stress,AR,None,12,0.0403409832097573,0.0820277024369881,0.0101627609201197,0.100810519888153,0.864346590909091,0.374849986779979
combined_stress,AR,None,13,0.04100427354168,0.0834279415827991,0.0104518799004414,0.102234435981432,0.860653409090909,0.380087490830677
combined_stress,AR,None,14,0.0417229254312204,0.0859952340010079,0.010997673558486,0.104869793355789,0.855113636363636,0.384883511676086
combined_stress,ARX,I,1,0.02227612840071,0.0404673509475031,0.00271110269236044,0.0520682503293556,0.912784090909091,0.230589043926547
combined_stress,ARX,I,2,0.0237444658447834,0.0449023802366517,0.00338236464209499,0.0581581003996433,0.909659090909091,0.243189826491078
combined_stress,ARX,I,3,0.0269701073488135,0.0481811386408201,0.00415048788130013,0.0644242802156154,0.921590909090909,0.278010157267322
combined_stress,ARX,I,4,0.0292141709849378,0.0518660116691172,0.00499670448188995,0.0706873714456122,0.911363636363636,0.294327950468096
combined_stress,ARX,I,5,0.0318679574676234,0.0570568861389719,0.0062551854065763,0.0790897300954827,0.907386363636364,0.309931761178103
combined_stress,ARX,I,6,0.033894496779036,0.0597312083506057,0.00699513066236853,0.0836368977328101,0.899715909090909,0.324676511851544
combined_stress,ARX,I,7,0.0361971383460251,0.0647599172491502,0.00845951829706918,0.091975639693721,0.896306818181818,0.338927507452818
combined_stress,ARX,I,8,0.037659790191136,0.068613043206909,0.0093266613901209,0.0965746415479804,0.889772727272727,0.347128679741148
combined_stress,ARX,I,9,0.0392859178057344,0.0716434168814039,0.0104162712604,0.102060135510394,0.892045454545455,0.358953892167425
combined_stress,ARX,I,10,0.0410082793531039,0.0743300311170045,0.0115657242557006,0.107544057277474,0.882386363636364,0.369156798978948
combined_stress,ARX,I,11,0.0427506938031292,0.0781304781793848,0.0122347743487509,0.110610914238835,0.876704545454545,0.378631348787807
combined_stress,ARX,I,12,0.0446632758318442,0.0803039327650829,0.0137561354594866,0.117286552764955,0.863352272727273,0.387394128106133
combined_stress,ARX,I,13,0.0456638585229792,0.0837822481653226,0.0146885547246764,0.121196347819051,0.870170454545454,0.397013573845903
combined_stress,ARX,I,14,0.0469854322117595,0.087804639597822,0.0164547973678392,0.128276254107451,0.857386363636364,0.402775005722569
observation_noise,AR,None,1,0.0226697029841108,0.040883662417151,0.00270749941239638,0.0520336373166088,0.922301136363636,0.24038139706175
observation_noise,AR,None,2,0.0246760508689082,0.0452233348805985,0.00329993794849004,0.0574450863737712,0.918465909090909,0.258901047555732
observation_noise,AR,None,3,0.027058659999088,0.0487375806794524,0.00380476640199055,0.0616827885393531,0.931534090909091,0.291504054637162
observation_noise,AR,None,4,0.0291227438262591,0.0539291258973292,0.00460067757371346,0.0678282947870095,0.921875,0.307671039592984
observation_noise,AR,None,5,0.0310977333574688,0.0583773982157246,0.00538052389136522,0.0733520544454293,0.912357954545455,0.321679720094296
observation_noise,AR,None,6,0.0328911453115634,0.0631515993997443,0.0062561900941774,0.0790960814084832,0.904403409090909,0.332936564492764
observation_noise,AR,None,7,0.0345034725381996,0.0673890463742484,0.00709518629461651,0.0842329288023188,0.898153409090909,0.342129012757231
observation_noise,AR,None,8,0.0359409867774243,0.0714000082019347,0.00784837570993796,0.0885910588600111,0.888778409090909,0.350053001033589
observation_noise,AR,None,9,0.0372191800714508,0.0746512408511871,0.00852425581925511,0.0923268965104704,0.881960227272727,0.358324988273861
observation_noise,AR,None,10,0.0381827659862819,0.0768861800773981,0.00893024295076313,0.094499962702443,0.875568181818182,0.363169473318569
observation_noise,AR,None,11,0.0391546610530867,0.0793826403730456,0.00955269236126415,0.0977378757763036,0.871875,0.368454914421225
observation_noise,AR,None,12,0.0399202963295623,0.0812903991172591,0.00991360475233644,0.0995670866920211,0.868039772727273,0.372792180098457
observation_noise,AR,None,13,0.0409647953800826,0.0832544587795141,0.0104307352933042,0.102130971273675,0.861505681818182,0.378661275622005
observation_noise,AR,None,14,0.0415556617214189,0.0856188277476632,0.0108957548325827,0.104382732444513,0.855965909090909,0.380459282268657
observation_noise,ARX,I,1,0.0236252427244502,0.0438076280808243,0.00312231844953511,0.0558777097735323,0.904119318181818,0.241361490238142
observation_noise,ARX,I,2,0.0263413390312823,0.0505973365593781,0.00418648277030507,0.0647030352480088,0.891335227272727,0.258653857010712
observation_noise,ARX,I,3,0.0293839090410061,0.0561968864010337,0.00518400030312221,0.0720000021050153,0.893465909090909,0.289365293125032
observation_noise,ARX,I,4,0.0324323260097688,0.0637957192747464,0.00658392544511163,0.0811413916882846,0.875994318181818,0.304993205362926
observation_noise,ARX,I,5,0.0351955635916986,0.0700681996655029,0.00795082604600246,0.0891674046162748,0.861079545454545,0.318705915472368
observation_noise,ARX,I,6,0.0382574588622268,0.0762717591077735,0.00940789206980296,0.0969942888514729,0.838210227272727,0.330014508355323
observation_noise,ARX,I,7,0.0408600650869966,0.0824800854215536,0.0109614789493542,0.104697081856918,0.8234375,0.339389853499303
observation_noise,ARX,I,8,0.0439575863862242,0.0882597014657439,0.0128484025364131,0.113350794158723,0.807528409090909,0.34819482989522
observation_noise,ARX,I,9,0.0467841238269965,0.0934592883414698,0.0144981698934382,0.120408346444249,0.795454545454545,0.357318080409371
observation_noise,ARX,I,10,0.0496806879862586,0.0982492361176298,0.0162976481211193,0.127662242347216,0.780397727272727,0.363212424693646
observation_noise,ARX,I,11,0.0525814387553841,0.104009026331425,0.0184066443546401,0.135671088868042,0.765625,0.369759991759154
observation_noise,ARX,I,12,0.0556368775915003,0.107961701770103,0.0204335389539209,0.142945930176137,0.758806818181818,0.375813363089506
observation_noise,ARX,I,13,0.0592009785586953,0.114104475980891,0.0234498161472809,0.153133328009552,0.750994318181818,0.383380155138127
observation_noise,ARX,I,14,0.0629708446664451,0.120204727498909,0.0270305833805507,0.164409803176546,0.736363636363636,0.388053414803812
