CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Alpha,NominalCoverage,LowerBound,UpperBound,Coverage,IntervalMethod,IntervalStatus,IntervalWidth,CoverageError,AbsoluteCoverageError,IntervalScore,WISIntervalComponent,WISSharpnessComponent,WISUnderpredictionComponent,WISOverpredictionComponent,ReplicateID,ReplicateIndex,NumReplicates
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,5,54,1.48761534509619,0.1,0.9,1.48787124675714,1.48793241049077,0,closed_loop_monte_carlo,ok,6.11637336329629e-05,-0.9,0.9,0.00517919695265112,5.75466328072347e-05,6.79597040366255e-07,5.68670357668684e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,6,55,1.48450847400365,0.1,0.9,1.48491409329493,1.48499540245915,0,closed_loop_monte_carlo,ok,8.13091642180019e-05,-0.9,0.9,0.00819369498984956,9.1041055442773e-05,9.03435157977799e-07,9.01376202847951e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,7,56,1.48106440388863,0.1,0.9,1.48167251922638,1.48176722240122,0,closed_loop_monte_carlo,ok,9.47031748408378e-05,-0.9,0.9,0.0122570099297601,0.000136188999219557,1.05225749823153e-06,0.000135136741721325,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,1,50,1.4966032770697,0.2,0.8,1.49661374470488,1.4966208869065,0,closed_loop_monte_carlo,ok,7.14220162678636e-06,-0.8,0.8,0.000111818553371057,2.48485674157904e-06,1.58715591706364e-07,2.32614114987268e-06,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,2,51,1.49487796559399,0.2,0.8,1.49491251789757,1.49492586457529,0,closed_loop_monte_carlo,ok,1.3346677723014e-05,-0.8,0.8,0.000358869713472654,7.97488252161453e-06,2.965928382892e-07,7.67828968332533e-06,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,3,52,1.49280316518971,0.2,0.8,1.49288280750139,1.49290930433566,0,closed_loop_monte_carlo,ok,2.64968342709171e-05,-0.8,0.8,0.000822919951046552,1.82871100232567e-05,5.88818539353713e-07,1.7698291483903e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,4,53,1.49038133490722,0.2,0.8,1.49053349401135,1.49057234745558,0,closed_loop_monte_carlo,ok,3.88534442334887e-05,-0.8,0.8,0.00156044448549819,3.4676544122182e-05,8.63409871855304e-07,3.38131342503267e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,5,54,1.48761534509619,0.2,0.8,1.48787229158112,1.48792778779278,0,closed_loop_monte_carlo,ok,5.5496211664785e-05,-0.8,0.8,0.00262496106096943,5.8332468021543e-05,1.23324914810633e-06,5.70992188734366e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,6,55,1.48450847400365,0.2,0.8,1.48491445463472,1.48498962109237,0,closed_loop_monte_carlo,ok,7.51664576537081e-05,-0.8,0.8,0.00413497276835262,9.18882837411693e-05,1.67036572563796e-06,9.02179180155313e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,7,56,1.48106440388863,0.2,0.8,1.48167476336794,1.48176402646742,0,closed_loop_monte_carlo,ok,8.92630994859811e-05,-0.8,0.8,0.00619285789256696,0.000137619064279266,1.9836244330218e-06,0.000135635439846244,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,1,50,1.4966032770697,0.5,0.5,1.49661501825264,1.49661728679573,0,closed_loop_monte_carlo,ok,2.26854308227331e-06,-0.5,0.5,4.92332748471824e-05,2.73518193595458e-06,1.26030171237406e-07,2.60915176471717e-06,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,2,51,1.49487796559399,0.5,0.5,1.4949152081673,1.49492125741236,0,closed_loop_monte_carlo,ok,6.04924506841797e-06,-0.5,0.5,0.000155019538276235,8.61219657090197e-06,3.36069170467665e-07,8.2761274004343e-06,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,3,52,1.49280316518971,0.5,0.5,1.49288430506968,1.49290241549058,0,closed_loop_monte_carlo,ok,1.81104208996086e-05,-0.5,0.5,0.000342669940759377,1.90372189310765e-05,1.0061344944227e-06,1.80310844366538e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,4,53,1.49038133490722,0.5,0.5,1.49053640779907,1.49056547528264,0,closed_loop_monte_carlo,ok,2.9067483574341e-05,-0.5,0.5,0.000649359050960197,3.6075502831122e-05,1.6148601985745e-06,3.44606426325475e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,5,54,1.48761534509619,0.5,0.5,1.48788076679938,1.48792293982871,0,closed_loop_monte_carlo,ok,4.21730293307387e-05,-0.5,0.5,0.00110385984210626,6.1325546783681e-05,2.34294607392993e-06,5.89826007097511e-05,0,rep001,1,1
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_structural_mismatch_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,6,55,1.48450847400365,0.5,0.5,1.48492337425279,1.48496893547934,0,closed_loop_monte_carlo,ok,4.55612265497507e-05,-0.5,0.5,0.00170516222309036,9.47312346161312e-05,2.53117925276393e-06,9.22000553633673e-05,0,rep001,1,1
