CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Model,ExoMode,NumPoints,MeanWIS,MedianWIS,StdWIS,RMSE,MAE,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,2464,0.0511239071801558,0.0356772153553434,0.0668021013176627,0.150055517011524,0.101056456134837,0.865969967532468,0.0784699675324665,0.239021915584418,0.417405701586081,0.011228495126093,0.0284233450899277,0.00737833086720658,0.00409373609692846
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,ARX,I,2464,0.0617501456486314,0.0362460883159057,0.091781008354497,0.196729223952842,0.122880584569481,0.803064123376623,0.0155641233766234,0.26904423701299,0.419170495731314,0.0136533982854979,0.028334552819332,0.0133225514749243,0.00643964306887716
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,2464,0.0509987350690018,0.037211721936772,0.0632294903881194,0.150411731849286,0.102549181402303,0.862824675324675,0.0753246753246744,0.235470779220782,0.422457015845585,0.0113943534891448,0.02887784096406,0.0068738529212195,0.00385268769457749
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,ARX,I,2464,241.082716025406,0.0376846603424549,11070.4894966467,12193.384120798,265.581997041423,0.820211038961039,0.0327110389610387,0.259263392857145,71.7050087780895,29.5091107823803,4.89832435832165,206.668217128522,0.00706375618156193
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,AR,None,2464,0.00528854189090792,1.84534018819614e-06,0.0466232179184531,0.0504579375288049,0.00624225480352239,0.575994318181818,-0.211505681818179,0.406118100649352,0.0165421316675395,0.000693583867058044,0.000913486385796493,0.0036740090541944,7.46258385898049e-06
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,ARX,I,2464,0.00958366682628648,6.45796776988567e-07,0.0753984076413537,0.0762560556636135,0.0104326636788109,0.399553571428571,-0.387946428571424,0.516152597402599,0.0148739578101737,0.00115918485320121,0.000834297903976857,0.00388884134998115,0.00370134271912727
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,AR,None,2464,0.00528854189090792,1.84534018819614e-06,0.0466232179184531,0.0504579375288049,0.00624225480352239,0.575994318181818,-0.211505681818179,0.406118100649352,0.0165421316675395,0.000693583867058044,0.000913486385796493,0.0036740090541944,7.46258385898049e-06
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,ARX,I,2464,0.00763323762152162,7.48589291712756e-07,0.065748502557915,0.0664926559472736,0.00855679469972065,0.383218344155844,-0.404281655844151,0.525781250000001,0.0147261149812141,0.000950754966635628,0.000831027828927715,0.00584152453043218,9.93029552610593e-06
