CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Scenario,ScenarioName,ReplicateID,ReplicateIndex,NumReplicates,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,WindowWIS,WindowRawScaleWIS,WindowRMSE,WindowMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,IsValid,IntervalMethod,IntervalStatus,RecordedStatus,AICC
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,rep001,1,2,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,0.33267698470561,0.33267698470561,0.442522580938192,0.442195837027376,0.0491328707808196,0.0202168522925358,0,0.263327261632255,0,-0.7875,0.7875,0.263528085402922,1,closed_loop_monte_carlo,ok,ok,-149.347050814849
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,rep001,1,2,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,0.0891891631647607,0.0891891631647607,0.213076147985339,0.181833935342917,0.0202037705936574,0.0290610603836658,0.0399243321874375,0,0.607142857142857,-0.180357142857143,0.398214285714286,0.418850361451483,1,closed_loop_monte_carlo,ok,ok,-161.557084448221
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,rep001,1,2,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_rep001_AR_None.mat,forecast_results,49,50,0.350165271469253,0.350165271469253,0.427905971822819,0.427700301475176,0.047522255719464,0.0142586238743842,0,0.288384391875405,0,-0.7875,0.7875,0.191997258357726,1,closed_loop_monte_carlo,ok,ok,-156.078627219692
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,rep001,1,2,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_rep001_AR_None.mat,forecast_results,56,57,0.0675613240396882,0.0675613240396882,0.196975784211778,0.184907883586844,0.0205453203985383,0.0274906704080643,0,0.0195253332330856,0.678571428571429,-0.108928571428571,0.294642857142857,0.364268666878652,1,closed_loop_monte_carlo,ok,ok,-163.680055430174
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,rep002,2,2,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_rep002_ARX_I.mat,forecast_results,49,50,0.11883980054857,0.11883980054857,0.264608542514922,0.261531767585473,0.0290590852872748,0.023644528414361,0,0.0661361868469343,0.428571428571429,-0.358928571428571,0.441071428571428,0.363979735799331,1,closed_loop_monte_carlo,ok,ok,-134.506995244876
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,rep002,2,2,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_rep002_ARX_I.mat,forecast_results,56,57,0.0474025350771478,0.0474025350771478,0.129831503937654,0.116379332583887,0.0129310369537653,0.0222033738813177,0.0122681242420648,0,0.535714285714286,-0.251785714285714,0.398214285714286,0.306173191369392,1,closed_loop_monte_carlo,ok,ok,-151.63969816304
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,rep002,2,2,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_rep002_AR_None.mat,forecast_results,49,50,0.208098146452936,0.208098146452936,0.304846294711623,0.303227923149417,0.0336919914610464,0.0243416708401952,0,0.150064484151694,0,-0.7875,0.7875,0.324749061747828,1,closed_loop_monte_carlo,ok,ok,-141.044704253657
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,rep002,2,2,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_rep002_AR_None.mat,forecast_results,56,57,0.0307924772383763,0.0307924772383763,0.0692952070330269,0.0615230827832357,0.00683589808702618,0.0212242561524213,0,0.00273232299892887,0.928571428571429,0.141071428571429,0.2125,0.29265494733892,1,closed_loop_monte_carlo,ok,ok,-155.881046077341
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,rep001,1,1,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_rep001_ARX_I.mat,forecast_results,49,50,0.0619160594938062,0.0619160594938062,0.182160190702052,0.136826549376938,0.0152029499307709,0.0419395072555824,0.00026160423461534,0.00451199807283757,0.821428571428571,0.0339285714285714,0.294642857142857,0.555600161383468,1,closed_loop_monte_carlo,ok,ok,-140.52213664954
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,rep001,1,1,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_rep001_ARX_I.mat,forecast_results,56,57,0.0374883621553121,0.0374883621553121,0.0645504053031132,0.0517489211308787,0.00574988012565319,0.0309561231389103,0,0.000782358890748644,0.928571428571429,0.141071428571429,0.233928571428571,0.417967703206578,1,closed_loop_monte_carlo,ok,ok,-156.266770036554
