CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Alpha,NominalCoverage,LowerBound,UpperBound,Coverage,IntervalMethod,IntervalStatus,IntervalWidth,CoverageError,AbsoluteCoverageError,IntervalScore,WISIntervalComponent,WISSharpnessComponent,WISUnderpredictionComponent,WISOverpredictionComponent
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,4,53,1.49038133490722,0.1,0.9,1.49204943640018,1.49295670927206,0,closed_loop_monte_carlo,ok,0.000907272871883524,-0.9,0.9,0.034269302731031,0.000380770030344789,1.00808096875947e-05,0.000370689220657194,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,5,54,1.48761534509619,0.1,0.9,1.49017857638129,1.49130402108926,0,closed_loop_monte_carlo,ok,0.00112544470797138,-0.9,0.9,0.0523900704100391,0.000582111893444879,1.2504941199682e-05,0.000569606952245197,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,6,55,1.48450847400365,0.1,0.9,1.4882765189167,1.4896192611275,0,closed_loop_monte_carlo,ok,0.00134274221080055,-0.9,0.9,0.0767036404718127,0.00085226267190903,1.49193578977839e-05,0.000837343314011246,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,7,56,1.48106440388863,0.1,0.9,1.48628616091567,1.48782616091298,0,closed_loop_monte_carlo,ok,0.00153999999730581,-0.9,0.9,0.105975140538192,0.00117750156153547,1.71111110811756e-05,0.00116039045045429,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,1,50,1.4966032770697,0.2,0.8,1.49676781750613,1.49686783338823,0,closed_loop_monte_carlo,ok,0.000100015882100291,-0.8,0.8,0.00174542024637248,3.8787116586055e-05,2.22257515778423e-06,3.65645414282708e-05,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,2,51,1.49487796559399,0.2,0.8,1.49538991593333,1.49567913582653,0,closed_loop_monte_carlo,ok,0.000289219893193193,-0.8,0.8,0.00540872328659137,0.000120193850813141,6.42710873762652e-06,0.000113766742075515,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,3,52,1.49280316518971,0.2,0.8,1.4938247987723,1.49431753419286,0,closed_loop_monte_carlo,ok,0.000492735420558166,-0.8,0.8,0.0107090712465014,0.000237979361033365,1.09496760124037e-05,0.000227029685020962,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,4,53,1.49038133490722,0.2,0.8,1.4920798775294,1.49279232476155,0,closed_loop_monte_carlo,ok,0.000712447232148916,-0.8,0.8,0.017697873453925,0.00039328607675389,1.58321607144204e-05,0.000377453916039469,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,5,54,1.48761534509619,0.2,0.8,1.4902568517793,1.49112847718935,0,closed_loop_monte_carlo,ok,0.000871625410046928,-0.8,0.8,0.0272866922411583,0.000606370938692407,1.93694535565984e-05,0.000587001485135809,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,6,55,1.48450847400365,0.2,0.8,1.48832624403018,1.48941093584585,0,closed_loop_monte_carlo,ok,0.00108469181566284,-0.8,0.8,0.0392623920809834,0.00087249760179963,2.41042625702854e-05,0.000848393339229345,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,7,56,1.48106440388863,0.2,0.8,1.48632698788202,1.48754960619265,0,closed_loop_monte_carlo,ok,0.00122261831062964,-0.8,0.8,0.0538484582445204,0.00119663240543379,2.71692957917698e-05,0.00116946310964202,0
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,1,50,1.4966032770697,0.5,0.5,1.4967713725271,1.49682783534817,0,closed_loop_monte_carlo,ok,5.64628210724116e-05,-0.5,0.5,0.000728844650656146,4.0491369480897e-05,3.13682339291176e-06,3.73545460879853e-05,0
