CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,Error,SquaredError,AbsoluteError,WIS,RawScaleWIS,WISMedianComponent,WISDispersionComponent,WISUnderpredictionComponent,WISOverpredictionComponent,CoverageMean,CalibrationBiasMean,AbsoluteCalibrationErrorMean,IntervalWidthMean,IntervalMethod,IntervalStatus
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,49,50,11,60,1.46400366119206,1.48610094108676,0.0220972798946995,0.000488289778744689,0.0220972798946995,0.0603374744794949,0.0603374744794949,0.00245525332163327,0.0578822211578616,0,0,1,0.2125,0.2125,0.810531037547831,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,49,50,12,61,1.45894263841497,1.44003924017207,-0.0189033982429074,0.000357338465129956,0.0189033982429074,0.0621374787335758,0.0621374787335758,0.00210037758254527,0.0600371011510305,0,0,1,0.2125,0.2125,0.860141972412912,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,49,50,13,62,1.45357471720592,1.45576078402363,0.00218606681771205,4.77888813150169e-06,0.00218606681771205,0.0650915328766739,0.0650915328766739,0.000242896313079117,0.0648486365635948,0,0,1,0.2125,0.2125,0.938151747725128,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,49,50,14,63,1.44790625961717,1.41200002632299,-0.0359062332941797,0.00128925758937606,0.0359062332941797,0.0737987065318403,0.0737987065318403,0.00398958147713108,0.0698091250547093,0,0,1,0.2125,0.2125,1.00088832734573,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,1,57,1.47728721665793,1.32244798830859,-0.154839228349337,0.0239751866358182,0.154839228349337,0.0523186301105072,0.0523186301105072,0.0172043587054819,0.0247456790265759,0,0.0103685923784494,0.75,-0.0375,0.2125,0.382687257643025,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,2,58,1.47318138902826,1.34981090175823,-0.123370487270039,0.0152202771292467,0.123370487270039,0.0444522711568902,0.0444522711568902,0.0137078319188932,0.0284461666229093,0,0.00229827261508777,0.75,-0.0375,0.2125,0.403705437645877,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,3,59,1.46875178722047,1.33027941163896,-0.138472375581514,0.0191745987991878,0.138472375581514,0.0536006916098211,0.0536006916098211,0.0153858195090571,0.0374393751675843,0,0.000775496933179712,0.75,-0.0375,0.2125,0.574961091680332,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,4,60,1.46400366119206,1.33218867065564,-0.131814990536416,0.0173751917301155,0.131814990536416,0.0581600408571885,0.0581600408571885,0.0146461100596018,0.0435139307975867,0,0,1,0.2125,0.2125,0.681986115091686,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,5,61,1.45894263841497,1.27015725828579,-0.188785380129181,0.0356399197505194,0.188785380129181,0.0655042890877114,0.0655042890877114,0.0209761533476868,0.0445281357400246,0,0,1,0.2125,0.2125,0.699786657895717,closed_loop_monte_carlo,ok
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_combined_stress_forecast_A1_AR_None.mat,forecast_results,56,57,6,62,1.45357471720592,1.33039783186846,-0.123176885337462,0.0151725450814383,0.123176885337462,0.0554709145965919,0.0554709145965919,0.0136863205930514,0.0417845940035406,0,0,1,0.2125,0.2125,0.621549885112038,closed_loop_monte_carlo,ok
