CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Model,ExoMode,NumWindows,NumValidWindows,NumFailedWindows,FailureRate,MeanWIS,MedianWIS,StdWIS,MeanRMSE,MeanMAE,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,PartAMeanWIS,PartAMeanRMSE,PartAMeanCoverage,PartAMeanIntervalWidth,DeltaMeanWIS,RelativeMeanWIS,DeltaRMSE,DeltaCoverage,DeltaIntervalWidth
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,AR,None,4,4,0,0,0.164154304800063,0.137829735246312,0.145655669214746,0.249755814444812,0.244339797748668,0.401785714285714,-0.385714285714286,0.520535714285714,0.293417483580781,0.0271488664165187,0.0218288053187662,0,0.115176633064778,0.0180440726693545,0.0314709179774601,0.478693181818182,0.0392635100017915,0.146110232130709,9.09740876176243,0.218284896467352,-0.0769074675324675,0.25415397357899
combined_stress,SEIR with observation and process noise,SEIR,ssa,1,1,1,ARX,I,4,4,0,0,0.147027120874022,0.104014481856665,0.127188422448736,0.262509693844027,0.250485218134913,0.392857142857143,-0.394642857142857,0.50625,0.338132843505782,0.0278316909038793,0.0237814537429701,0.0130481141073756,0.0823658621197974,0.0247459785684454,0.0434246607290155,0.357857142857143,0.0370691463785668,0.122281142305577,5.94145511228652,0.219085033115011,0.035,0.301063697127215
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,AR,None,2,2,0,0,0.078627259296016,0.078627259296016,0.0288125095547119,0.154417787278572,0.148499392430811,0.5,-0.2875,0.5,0.510581529018455,0.0164999324923124,0.0381591084165532,0,0.0239682183871505,0.0180440726693545,0.0314709179774601,0.478693181818182,0.0392635100017915,0.0605831866266615,4.35751178444067,0.122946869301112,0.0213068181818182,0.471318019016664
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,ARX,I,2,2,0,0,0.0497022108245591,0.0497022108245591,0.0172729904368218,0.123355298002582,0.0942877352539085,0.875,0.0875,0.264285714285714,0.486783932295023,0.0104764150282121,0.0364478151972463,0.00013080211730767,0.00264717848179311,0.0247459785684454,0.0434246607290155,0.357857142857143,0.0370691463785668,0.0249562322561138,2.00849647901726,0.079930637273567,0.517142857142857,0.449714785916456
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,AR,None,4,4,0,0,0.00231506721752045,0.00231506721752045,8.4623911967587e-05,0.00305460469908075,0.00242655354459331,0,-0.7875,0.7875,0.000545168730725659,0.000269617060510368,3.90624466325045e-05,0.00200638771037758,0,0.0180440726693545,0.0314709179774601,0.478693181818182,0.0392635100017915,-0.015729005451834,0.128300703502059,-0.0284163132783794,-0.478693181818182,-0.0387183412710658
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,ARX,I,4,4,0,0,0.000182877337489164,0.00018399796007184,1.83678140538344e-05,0.000277527436250059,0.000215122531623828,0,-0.7875,0.7875,8.43379136446082e-05,2.39025035137587e-05,5.99965408116723e-06,0.000152975179894238,0,0.0247459785684454,0.0434246607290155,0.357857142857143,0.0370691463785668,-0.0245631012309562,0.00739018410540285,-0.0431471332927654,-0.357857142857143,-0.0369848084649222
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,AR,None,2,2,0,0,0.00231506721752045,0.00231506721752045,0.000103642702179396,0.00305460469908075,0.00242655354459331,0,-0.7875,0.7875,0.000545168730725659,0.000269617060510368,3.90624466325045e-05,0.00200638771037758,0,0.0180440726693545,0.0314709179774601,0.478693181818182,0.0392635100017915,-0.015729005451834,0.128300703502059,-0.0284163132783794,-0.478693181818182,-0.0387183412710658
structural_mismatch,SEIR structural mismatch,SEIR,uds,1,0,0,ARX,I,2,2,0,0,0.000213691406857069,0.000213691406857069,1.90439502668079e-05,0.000317223142498099,0.000240012207269451,0,-0.7875,0.7875,7.27079793255306e-05,2.6668023029939e-05,5.3577118443134e-06,0.000181665671982817,0,0.0247459785684454,0.0434246607290155,0.357857142857143,0.0370691463785668,-0.0245322871615883,0.00863539933432079,-0.0431074375865174,-0.357857142857143,-0.0369964383992413
