CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Alpha,NominalCoverage,LowerBound,UpperBound,Coverage,IntervalMethod,IntervalStatus,IntervalWidth,CoverageError,AbsoluteCoverageError,IntervalScore,WISIntervalComponent,WISSharpnessComponent,WISUnderpredictionComponent,WISOverpredictionComponent
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,49,50,7,56,1.48106440388863,0.1,0.9,1.03610676760314,1.57466916853409,1,closed_loop_monte_carlo,ok,0.538562400930945,0.1,0.1,0.538562400930945,0.0059840266770105,0.0059840266770105,0,0
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,49,50,1,50,1.4966032770697,0.2,0.8,1.42532478967594,1.69381361168341,1,closed_loop_monte_carlo,ok,0.268488822007467,0.2,0.2,0.268488822007467,0.00596641826683259,0.00596641826683259,0,0
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,49,50,2,51,1.49487796559399,0.2,0.8,1.37331708284998,1.79266255259549,1,closed_loop_monte_carlo,ok,0.419345469745512,0.2,0.2,0.419345469745512,0.00931878821656693,0.00931878821656693,0,0
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,49,50,3,52,1.49280316518971,0.2,0.8,1.34655164494243,1.71407384215252,1,closed_loop_monte_carlo,ok,0.367522197210095,0.2,0.2,0.367522197210095,0.00816715993800211,0.00816715993800211,0,0
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,49,50,4,53,1.49038133490722,0.2,0.8,1.2574127989519,1.6810148963226,1,closed_loop_monte_carlo,ok,0.4236020973707,0.2,0.2,0.4236020973707,0.00941337994157112,0.00941337994157112,0,0
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,49,50,5,54,1.48761534509619,0.2,0.8,1.21225502429652,1.63866696217679,1,closed_loop_monte_carlo,ok,0.426411937880266,0.2,0.2,0.426411937880266,0.00947582084178369,0.00947582084178369,0,0
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,49,50,6,55,1.48450847400365,0.2,0.8,1.14271831701166,1.50856841830508,1,closed_loop_monte_carlo,ok,0.365850101293419,0.2,0.2,0.365850101293419,0.00813000225096486,0.00813000225096486,0,0
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,49,50,7,56,1.48106440388863,0.2,0.8,1.11774693543381,1.51859124050718,1,closed_loop_monte_carlo,ok,0.40084430507337,0.2,0.2,0.40084430507337,0.00890765122385266,0.00890765122385266,0,0
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,49,50,1,50,1.4966032770697,0.5,0.5,1.52218381187074,1.5673729618375,0,closed_loop_monte_carlo,ok,0.0451891499667545,-0.5,0.5,0.147511289170918,0.00819507162060657,0.00251050833148636,0.00568456328912021,0
observation_noise,SIRS with observation noise,SIRS,uds,0,1,0,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_observation_noise_forecast_A1_AR_None.mat,forecast_results,49,50,2,51,1.49487796559399,0.5,0.5,1.46664130834792,1.52754522188491,1,closed_loop_monte_carlo,ok,0.060903913536996,0.5,0.5,0.060903913536996,0.00338355075205533,0.00338355075205533,0,0
