Scenario,WindowDay,RMSE_Rt,RMSE_Cases
A1,28,4.88590850890538e-14,31.4087011236413
A1,35,1.29383008816206e-14,36.5919877140175
A1,42,2.68040450357828e-14,23.3002339575539
A1,49,3.79523023408663e-14,24.7264700974336
A1,56,3.54602125546357e-14,26.2732347220676
A1,63,5.92786026210406e-15,17.3722768520164
A1,70,5.63562905258156e-14,25.0711527578295
A1,77,6.18136048952642e-14,66.4124174387295
A1,84,5.75123388820905e-15,27.9159988823209
A1,91,7.24290378182337e-14,32.3488803341052
A1,98,2.33654002885599e-14,21.2051366921682
A1,105,1.566210091093e-14,36.1931902550908
A1,112,6.42197428957549e-15,34.2854046722082
A1,119,7.19027167726831e-14,39.5342253702214
A1,126,4.21296254605123e-14,80.3144920765259
A2,28,9.71931123539004e-06,46.2979119565661
A2,35,0.0157985953102684,43.1110398325472
A2,42,174.163174167625,2033.70329226541
A2,49,8978.51464527702,29319.0434230304
A2,56,13.6248732918978,19604.5276906976
A2,63,0.142714838075421,65.7082733097797
A2,70,0.00813469501788623,43.4322003490577
A2,77,0.00923527366939685,30.1891502441506
A2,84,0.0110576202155386,21.4715393206032
A2,91,0.0107843878975934,9.21594747223038
A2,98,0.0102977589431061,4.61166787796348
A2,105,0.00982649663092802,4.06374075308026
A2,112,0.00939317443824193,4.57139519203315
A2,119,0.00899601825937318,7.84992953853237
A2,126,0.00863100670920023,3.0946380950257
A3,28,2.10984108258114e-15,30.8097465718629
A3,35,5.87294937834482e-15,29.6888121583476
A3,42,2.56692453704375e-15,7.72924364731823
A3,49,4.4349404870279e-15,12.7439617747749
A3,56,8.42955220506265e-15,24.142103315195
A3,63,3.56211830130067e-15,58.6162603265858
A3,70,6.82713012304326e-15,46.8722398528595
A3,77,1.3296216137713e-15,24.626878517993
A3,84,9.88196500324343e-15,25.0236705152065
A3,91,1.17000862799867e-14,12.8501096747199
A3,98,2.1404981455557e-15,13.9074864736891
A3,105,5.52695484643178e-15,37.3906690968875
A3,112,7.07164384498121e-16,32.3943219067533
A3,119,2.0673925062977e-14,33.0849371755926
A3,126,1.3917382147355e-15,37.808430269118
A4,28,0.00250811395542361,10.9624419089518
A4,35,0.00230373821005733,33.9402758051291
A4,42,0.00203052552084799,33.0976717568049
A4,49,0.00714617589635951,24.4392518838879
A4,56,0.00785674779952286,47.9297445205567
A4,63,0.00371669082859184,22.1156122309367
A4,70,0.00136549682060782,64.9873121913843
A4,77,0.00299252271162047,26.9527746938221
A4,84,0.00255581982591604,40.375906923098
A4,91,0.00960871425832516,48.3799531060011
A4,98,0.00320079725800954,23.2185726675949
A4,105,0.00626185737937712,20.8758855093848
A4,112,0.00823236265748255,39.331764460103
A4,119,0.00381236348820896,20.6132199737393
A4,126,0.000733897978092465,13.9789923420948
