date,t,I_observed,I_smoothed,Lambda_t,Rt_est,Rt_model_input,Rt_evaluation_proxy
2020-05-13,73,754,604,551.586973831118,1.095022233402,1.095022233402,1.095022233402
2020-05-14,74,698,597.285714285714,564.023148723968,1.05897375956465,1.05897375956465,1.05897375956465
2020-05-15,75,657,579,575.299966557195,1.00643148558646,1.00643148558646,1.00643148558646
2020-05-16,76,688,577.142857142857,584.132388059074,0.988034337661978,0.988034337661978,0.988034337661978
2020-05-17,77,358,555.571428571429,588.990001907228,0.943261221366092,0.943261221366092,0.943261221366092
2020-05-18,78,259,552.714285714286,589.333973852215,0.9378625876622,0.9378625876622,0.9378625876622
2020-05-19,79,430,549.142857142857,585.517676433522,0.937875796487939,0.937875796487939,0.937875796487939
2020-05-20,80,666,536.571428571429,578.634741102752,0.927305933184793,0.927305933184793,0.927305933184793
2020-05-21,81,808,552.285714285714,570.566567659854,0.967960174306887,0.967960174306887,0.967960174306887
2020-05-22,82,610,545.571428571429,562.507605969137,0.969891647298654,0.969891647298654,0.969891647298654
2020-05-23,83,532,523.285714285714,555.858300923221,0.941401276938013,0.941401276938013,0.941401276938013
2020-05-24,84,403,529.714285714286,551.385266937605,0.960697206612574,0.960697206612574,0.960697206612574
2020-05-25,85,210,522.714285714286,547.389224477893,0.954922498178252,0.954922498178252,0.954922498178252
2020-05-26,86,490,531.285714285714,542.672570841331,0.979017077391689,0.979017077391689,0.979017077391689
2020-05-27,87,746,542.714285714286,537.69798369043,1.00932921858741,1.00932921858741,1.00932921858741
2020-05-28,88,800,541.571428571429,533.676821177593,1.01479286167313,1.01479286167313,1.01479286167313
2020-05-29,89,774,565,532.064521480926,1.06190128676011,1.06190128676011,1.06190128676011
2020-05-30,90,773,599.428571428571,533.133475380542,1.12434990318458,1.12434990318458,1.12434990318458
2020-05-31,91,432,603.571428571429,537.158515919454,1.12363745651187,1.12363745651187,1.12363745651187
2020-06-01,92,265,611.428571428571,545.642680145921,1.12056588253884,1.12056588253884,1.12056588253884
2020-06-02,93,648,634,558.339410433611,1.13551002876123,1.13551002876123,1.13551002876123
2020-06-03,94,900,656,572.74714840199,1.14535707742988,1.14535707742988,1.14535707742988
2020-06-04,95,1046,691.142857142857,587.447453661511,1.17651860236183,1.17651860236183,1.17651860236183
2020-06-05,96,1039,729,602.96438613669,1.20902663036344,1.20902663036344,1.20902663036344
2020-06-06,97,1146,782.285714285714,620.865609757449,1.25999202080355,1.25999202080355,1.25999202080355
