Scenario,Model,ExoMode,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_I,ForecastDriven_I,PersistenceRt_I,ForecastDrivenAbsoluteError,PersistenceRtAbsoluteError
A1,ARX,I,49,50,1,50,830.411673454518,830.411673454518,830.411673454518,0,0
A1,ARX,I,49,50,2,51,846.692791420024,846.692816423196,846.446378062314,2.50031716859667e-05,0.246413357710821
A1,ARX,I,49,50,3,52,863.538094886595,863.538207549181,862.789388153307,0.000112662586161605,0.748706733287349
A1,ARX,I,49,50,4,53,880.9632310562,880.963532903537,879.446576282049,0.000301847336118044,1.51665477415168
A1,ARX,I,49,50,5,54,898.984263749402,898.984922090578,896.423924524904,0.000658341175267196,2.56033922449853
A1,ARX,I,49,50,6,55,917.617673741444,917.618928289956,913.727526420466,0.00125454851229279,3.8901473209778
A1,ARX,I,49,50,7,56,936.880358352624,936.882540976688,931.363588939609,0.00218262406451686,5.51676941301537
A1,ARX,I,49,50,8,57,956.789630228959,956.793169682151,949.338434485386,0.0035394531920474,7.45119574357261
A1,ARX,I,49,50,9,58,977.363215246494,977.368677831434,967.658502922982,0.00546258493989171,9.7047123235119
A1,ARX,I,49,50,10,59,998.61924946997,998.627370336138,986.330353639882,0.00812086616826946,12.2888958300883
A1,ARX,I,49,50,11,60,1020.57627509396,1020.58797211815,1005.36066763644,0.0116970241823537,15.2156074575257
A1,ARX,I,49,50,12,61,1043.25323529208,1043.26964877851,1024.75624964698,0.0164134864373864,18.4969856450969
A1,ARX,I,49,50,13,62,1066.66946789726,1066.69196904445,1044.52403029158,0.0225011471957259,22.1454376056765
A1,ARX,I,49,50,14,63,1090.844697834,1090.87498779027,1064.67106825861,0.0302899562689163,26.173629575391
A1,ARX,I,56,57,1,57,956.789630228959,956.789630228959,956.789630228959,0,0
A1,ARX,I,56,57,2,58,977.363215246494,977.363257299077,977.119971010334,4.20525826712037e-05,0.243244236160194
A1,ARX,I,56,57,3,59,998.61924946997,998.61943358622,997.880193815435,0.000184116249670296,0.73905565453515
A1,ARX,I,56,57,4,60,1020.57627509396,1020.57676351083,1019.07929192283,0.00048841686407286,1.4969831711345
A1,ARX,I,56,57,5,61,1043.25323529208,1043.25429368254,1040.72644224503,0.00105839046182155,2.52679304704861
A1,ARX,I,56,57,6,62,1066.66946789726,1066.67146975129,1062.83100885872,0.00200185403650721,3.83845903853899
A1,ARX,I,56,57,7,63,1090.844697834,1090.84816696579,1085.40254659144,0.003469131792599,5.44215124255334
A1,ARX,I,56,57,8,64,1115.79902822087,1115.80464460873,1108.45080466499,0.00561638785711693,7.34822355588244
A1,ARX,I,56,57,9,65,1141.55293005977,1141.56154851408,1131.98573039564,0.00861845431086294,9.56719966412561
A1,ARX,I,56,57,10,66,1168.12723042618,1168.13994940632,1156.01747295145,0.0127189801453369,12.1097574747266
A1,ARX,I,56,57,11,67,1195.54309907327,1195.56129491432,1180.55638716663,0.0181958410460084,14.9867119066414
A1,ARX,I,56,57,12,68,1223.82203336077,1223.84743066511,1205.61303741306,0.0253973043415954,18.2089959477134
A1,ARX,I,56,57,13,69,1252.98584141847,1253.02050136781,1231.19820152884,0.0346599493370832,21.7876398896276
A1,ARX,I,56,57,14,70,1283.05662345324,1283.10304853716,1257.32287480388,0.0464250839231681,25.7337486493595
A1,ARX,I,63,64,1,64,1115.79902822087,1115.79902822087,1115.79902822087,0,0
A1,ARX,I,63,64,2,65,1141.55293005977,1141.55298649738,1141.32105610961,5.64376084639662e-05,0.231873950162026
A1,ARX,I,63,64,3,66,1168.12723042618,1168.12748753982,1167.42354076851,0.000257113637189832,0.703689657670338
A1,ARX,I,63,64,4,67,1195.54309907327,1195.54381311922,1194.11952035687,0.000714045942004304,1.42357871640547
A1,ARX,I,63,64,5,68,1223.82203336077,1223.82356611878,1221.42231760265,0.00153275800676056,2.39971575812024
A1,ARX,I,63,64,6,69,1252.98584141847,1252.98872882373,1249.34554557188,0.00288740526229958,3.64029584659306
A1,ARX,I,63,64,7,70,1283.05662345324,1283.06158637279,1277.9031135296,0.00496291955050765,5.15350992363278
A1,ARX,I,63,64,8,71,1314.05675110758,1314.06475308943,1307.10923289231,0.00800198185152112,6.94751821526938
A1,ARX,I,63,64,9,72,1346.00884477754,1346.02111329376,1336.97842327132,0.0122685162180005,9.03042150622605
A1,ARX,I,63,64,10,73,1378.93574879783,1378.9538407413,1367.5255186068,0.0180919434717453,11.4102301910261
A1,ARX,I,63,64,11,74,1412.86050440229,1412.88630563486,1398.76567339162,0.0258012325657546,14.0948310106771
A1,ARX,I,63,64,12,75,1447.80632036915,1447.84217078062,1430.71436898415,0.0358504114676634,17.091951385004
A1,ARX,I,63,64,13,76,1483.79654126141,1483.84531059618,1463.3874200091,0.048769334766348,20.4091212523106
A1,ARX,I,63,64,14,77,1520.85461317521,1520.91974794251,1496.80098084496,0.0651347672931024,24.053632330254
A1,ARX,I,70,71,1,71,1314.05675110758,1314.05675110758,1314.05675110758,0,0
A1,ARX,I,70,71,2,72,1346.00884477754,1346.00893086017,1345.80097791219,8.60826298776374e-05,0.207866865351434
A1,ARX,I,70,71,3,73,1378.93574879783,1378.9361389118,1378.30690856412,0.000390113974162887,0.628840233706342
A1,ARX,I,70,71,4,74,1412.86050440229,1412.86156597595,1411.59255039418,0.00106157365394211,1.26795400811216
A1,ARX,I,70,71,5,75,1447.80632036915,1447.80859669597,1445.67632178116,0.00227632682253898,2.12999858799162
A1,ARX,I,70,71,6,76,1483.79654126141,1483.80080602395,1480.57706069233,0.00426476253869623,3.21948056908582
A1,ARX,I,70,71,7,77,1520.85461317521,1520.8619094815,1516.31403334857,0.00729630628620725,4.54057982663994
A1,ARX,I,70,71,8,78,1559.00404691109,1559.01573604025,1552.90694301211,0.0116891291656884,6.0971038989785
A1,ARX,I,70,71,9,79,1598.26837848647,1598.28614578587,1590.3759388943,0.0177672993957003,7.89243959217583
A1,ARX,I,70,71,10,80,1638.67112691156,1638.69708085027,1628.74162518081,0.025953938708426,9.92950173075042
A1,ARX,I,70,71,11,81,1680.23574915501,1680.27247898387,1668.02507017074,0.0367298288635993,12.2106789842726
A1,ARX,I,70,71,12,82,1722.98559223138,1723.03621461709,1708.24781552586,0.0506223857116765,14.7377767055164
