Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Alpha,NominalCoverage,LowerBound,UpperBound,Coverage,IntervalWidth,CoverageError,AbsoluteCoverageError,IntervalScore,WISIntervalComponent,WISSharpnessComponent,WISUnderpredictionComponent,WISOverpredictionComponent
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,1,50,1.13649504552614,0.1,0.9,1.13649509629478,1.13649538756247,0,2.91267695295971e-07,-0.9,0.9,1.306640432297e-06,6.53320216148501e-08,1.45633847647986e-08,5.07686368500515e-08,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,2,51,1.13849466883911,0.1,0.9,1.13849510406618,1.13849575476282,0,6.50696637016779e-07,-0.9,0.9,9.35523804024285e-06,4.67761902012143e-07,3.25348318508389e-08,4.35227070161304e-07,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,3,52,1.14045325319274,0.1,0.9,1.14045437406762,1.14045540570037,0,1.03163274545182e-06,-0.9,0.9,2.34491303459095e-05,1.17245651729547e-06,5.15816372725908e-08,1.12087488002288e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,4,53,1.14237021821622,0.1,0.9,1.14237232363719,1.14237383518631,0,1.5115491254214e-06,-0.9,0.9,4.36199685078797e-05,2.18099842539399e-06,7.55774562710698e-08,2.10542096912292e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,5,54,1.14424499587144,0.1,0.9,1.14424856746531,1.14425067198427,0,2.10451896887065e-06,-0.9,0.9,7.35363962443003e-05,3.67681981221502e-06,1.05225948443533e-07,3.57159386377148e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,6,55,1.14607703062133,0.1,0.9,1.14608257369778,1.14608525007123,0,2.67637345108263e-06,-0.9,0.9,0.000113537902505678,5.67689512528391e-06,1.33818672554131e-07,5.54307645272978e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,7,56,1.14786577959443,0.1,0.9,1.14787396771876,1.14787720897212,0,3.24125336614856e-06,-0.9,0.9,0.000167003739813154,8.3501869906577e-06,1.62062668307428e-07,8.18812432235028e-06,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,8,57,1.14961071274585,0.1,0.9,1.14962219821428,1.1496261712895,0,3.97307522148616e-06,-0.9,0.9,0.000233682443979033,1.16841221989517e-05,1.98653761074308e-07,1.14854684378773e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,9,58,1.15131131301421,0.1,0.9,1.15132699874924,1.15133159722957,0,4.59848032696719e-06,-0.9,0.9,0.000318313180988516,1.59156590494258e-05,2.2992401634836e-07,1.56857350330775e-05,0
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,49,50,10,59,1.15296707647496,0.1,0.9,1.15298790088747,1.15299321018806,0,5.30930058650902e-06,-0.9,0.9,0.000421797550967495,2.10898775483748e-05,2.65465029325451e-07,2.08244125190493e-05,0
