Scenario,ScenarioName,NumPoints,NumFiniteWIS,MeanWIS,MedianWIS,StdWIS,RMSE,MAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth
A1,Seasonal Forcing,7392,7392,0.0127864544814713,0.00105068787019575,0.0299345056168921,0.0440823425460824,0.0189147213060735,0.00210163570067483,0.00162549908596118,0.00304274985571942,0.00601656983911585,0.358461850649351,-0.429038149350664,0.542677895021645,0.0241493013663796
A2,Policy Intervention,7392,7392,280839382.621635,0.00567533430521162,24032769044.6161,1538546.67316747,19433.5214491036,2159.28016101151,280837189.904693,33.4218053789668,0.014976554035426,0.677489177489177,-0.110010822510818,0.363490936147179,11447315254.6982
A3,Damping Resurgence,7392,7392,0.0698964924309517,0.00755718716036793,0.458491924141965,0.495016753365753,0.0932848215836636,0.0103649801759626,0.00601457772597158,0.0317793738826594,0.021737560646358,0.379430465367965,-0.408069534632049,0.529548836580086,0.0879826471885969
A4,Amplifying Resurgence,7392,7392,0.0521101971436754,0.00768984780808999,0.126948387068188,0.181863573164464,0.0745035386410866,0.00827817096012073,0.00569027633499696,0.018142997551984,0.0199987522965737,0.360017586580087,-0.427482413419928,0.544172754329004,0.0836205572354625
