Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,WindowDay,WindowDayIdx,WindowWIS,WindowRMSE,WindowMAE,MeanWISMedianComponent,MeanWISDispersionComponent,MeanWISUnderpredictionComponent,MeanWISOverpredictionComponent,MeanCoverage,MeanCalibrationBias,MeanAbsoluteCalibrationError,MeanIntervalWidth,AICC
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,147,148,1.14072473045308e-05,2.08077843543345e-05,1.56793344053829e-05,7.83966720269147e-06,3.52367465916714e-06,0,3.99692710085299e-05,0.142857142857143,-0.644642857142857,0.664285714285714,1.15500135445455e-05,-4042.84625019044
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,154,155,1.39943469674097e-05,2.30870472000966e-05,1.73643411786844e-05,8.68217058934219e-06,3.54891116905454e-06,0,5.0743479594947e-05,0.0714285714285714,-0.716071428571428,0.726785714285714,1.16803712064247e-05,-4232.30787771446
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,161,162,1.69928492156525e-05,2.766432729539e-05,2.11473305190716e-05,1.05736652595358e-05,3.19143859593934e-06,0,6.27027176149613e-05,0.0357142857142857,-0.751785714285714,0.755357142857143,1.04810150313439e-05,-4417.25524686675
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,168,169,1.83658263535737e-05,2.86451211635189e-05,2.20642231878295e-05,1.10321115939148e-05,3.35213785448191e-06,0,6.82619691426848e-05,0.0178571428571429,-0.769642857142857,0.771428571428571,1.12492113088423e-05,-4598.78186618982
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,175,176,2.08543998651219e-05,3.27532769106668e-05,2.48193509234424e-05,1.24096754617212e-05,3.68087483319512e-06,0,7.77542490981323e-05,0,-0.7875,0.7875,1.14288281816917e-05,-4777.35574561862
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,182,183,2.42440571653738e-05,3.81356144256022e-05,2.85182147031136e-05,1.42591073515568e-05,3.81310955435084e-06,0,9.10260403382744e-05,0.0357142857142857,-0.751785714285714,0.757142857142857,1.19365030875558e-05,-4951.36004825692
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,189,190,3.51235221025047e-05,5.17639232558565e-05,3.88382366300106e-05,1.94191183150053e-05,3.37193059475208e-06,0,0.000135264800551514,0,-0.7875,0.7875,1.05432506829325e-05,-5115.63798042199
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,196,197,5.08941388307202e-05,7.44173931417042e-05,5.59783758778409e-05,2.79891879389205e-05,4.41301136276919e-06,0,0.000196621425436551,0,-0.7875,0.7875,1.40254529649858e-05,-5260.2947450455
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,203,204,7.32081312317286e-05,0.000105879911477832,7.94430266904321e-05,3.9721513345216e-05,5.34572932663346e-06,0,0.000284369347870929,0,-0.7875,0.7875,1.65267523592888e-05,-5373.28993653191
A1,Seasonal Forcing,ARX,I,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partA/forecasts/partA_03_forecast_A1_ARX_I.mat,210,211,0.000103854374945182,0.000149866543654966,0.000112765099052091,5.63825495260454e-05,6.15732962396075e-06,0,0.000404804808103311,0,-0.7875,0.7875,2.05991975995004e-05,-5450.15868554374
